method,source_index,image_id,snr_db,seed,N,E,diagnostic_only,header_ok,normalized_latent,psnr_db,lpips_alex,dino_cosine
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,False,True,0.4759870171546936,21.43150520324707,0.12909053266048431,0.7515579462051392
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,True,True,0.40387237071990967,22.05828857421875,0.11399475485086441,0.8424328565597534
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,True,True,0.45104414224624634,21.537216186523438,0.1182505413889885,0.7822268605232239
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,True,True,0.3782910704612732,22.218120574951172,0.10380592942237854,0.8096540570259094
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,False,True,0.49367091059684753,21.416187286376953,0.13305675983428955,0.8003624677658081
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,True,True,0.4182540476322174,21.77577781677246,0.1323614865541458,0.8200608491897583
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,True,True,0.4500334858894348,21.8232421875,0.10783077031373978,0.7912998795509338
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,True,True,0.3782910704612732,22.218120574951172,0.10380592942237854,0.8096540570259094
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,False,True,0.4164755940437317,22.077869415283203,0.10195611417293549,0.8364310264587402
