region,arm,control,metric,difference,ci_low,ci_high,source_images,involves_expected_reference
snr_13,lpips_0p1__unconditioned,raw_m8,lpips,0.0004725991624097049,-0.002366607746885465,0.0033412240101024487,100,False
snr_13,lpips_0p1__unconditioned,raw_m8,dino,-0.07010100106398263,-0.08190365896125634,-0.05823989775776862,100,False
snr_13,lpips_0p1__unconditioned,raw_m8,mse,-0.0044695999158548775,-0.005081980877240966,-0.003907117468553915,100,False
snr_13,lpips_0p1__unconditioned,raw_m9,psnr_db,0.2794136301676431,0.15507815090815225,0.40995605476697283,100,False
snr_13,lpips_0p1__unconditioned,raw_m9,lpips,0.04171830675254265,0.037963149290842324,0.04560828665209313,100,False
snr_13,lpips_0p1__unconditioned,raw_m9,dino,-0.1042301110426585,-0.11633663211762904,-0.09236367918550968,100,False
snr_13,lpips_0p1__unconditioned,raw_m9,mse,-0.0006173925092506594,-0.000864967268004055,-0.00038907142617613415,100,False
snr_19,expected_mix_12,arithmetic_adaptive,psnr_db,1.1745694335093662,1.1248570905334783,1.2243572866500783,100,True
snr_19,expected_mix_12,arithmetic_adaptive,lpips,-0.0011505969979006896,-0.0025310336597784756,0.0003370771153629567,100,True
snr_19,expected_mix_12,arithmetic_adaptive,dino,-0.031469191145980416,-0.03652883615330011,-0.02691078739856884,100,True
snr_19,expected_mix_12,arithmetic_adaptive,mse,-0.0014386447306388036,-0.001643590102961467,-0.0012549614740726296,100,True
snr_19,expected_mix_12,raw_adaptive,psnr_db,1.1745694335093662,1.1248570905334783,1.2243572866500783,100,True
snr_19,expected_mix_12,raw_adaptive,lpips,-0.0011505969979006896,-0.0025310336597784756,0.0003370771153629567,100,True
snr_19,expected_mix_12,raw_adaptive,dino,-0.031469191145980416,-0.03652883615330011,-0.02691078739856884,100,True
snr_19,expected_mix_12,raw_adaptive,mse,-0.0014386447306388036,-0.001643590102961467,-0.0012549614740726296,100,True
snr_19,lpips_0p01__conditioned,arithmetic_adaptive,psnr_db,1.0602540874481199,0.9164528162479401,1.2110545234680175,100,False
snr_19,lpips_0p01__conditioned,arithmetic_adaptive,lpips,0.05243178715929389,0.04789461265690626,0.05707405853737146,100,False
snr_19,lpips_0p01__conditioned,arithmetic_adaptive,dino,-0.10690793017546334,-0.1208021445373694,-0.09348794461290041,100,False
snr_19,lpips_0p01__conditioned,arithmetic_adaptive,mse,-0.002078365137806851,-0.002473103047808346,-0.0017209651510256608,100,False
snr_19,lpips_0p01__conditioned,expected_mix_03,psnr_db,0.15188679176521225,0.029374607488131546,0.2806746947245876,100,True
snr_19,lpips_0p01__conditioned,expected_mix_03,lpips,0.0533216150856696,0.048589664756548995,0.05819638614102576,100,True
snr_19,lpips_0p01__conditioned,expected_mix_03,dino,-0.0825708554627364,-0.09612908767656839,-0.0692702258102451,100,True
snr_19,lpips_0p01__conditioned,expected_mix_03,mse,-0.000965772058047963,-0.0012242891237759304,-0.0007225310132297366,100,True
snr_19,lpips_0p01__conditioned,expected_mix_12,psnr_db,-0.11431534606124608,-0.2330691072849306,0.00862180330670666,100,True
snr_19,lpips_0p01__conditioned,expected_mix_12,lpips,0.053582384157194574,0.048728056025023773,0.0585621807280066,100,True
snr_19,lpips_0p01__conditioned,expected_mix_12,dino,-0.07543873902948293,-0.08911699827937312,-0.06198685905847949,100,True
