arm,image_id,snr_db,seed,psnr_db,lpips,dino,mse,p_deep,digital,actual_deployment,complex_uses_each_selected_frame,energy_each_selected_frame
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,13.0,2002,22.6756922599492,0.1748015540179185,0.9254392345372908,0.005442648235175586,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,13.0,2003,22.677653566089354,0.17526917559489075,0.9282436772141317,0.005441541673911927,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,19.0,2001,22.68221719468994,0.17502751327641133,0.9290998473371661,0.005439027966616375,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,19.0,2002,22.681579336672616,0.17473510861224034,0.9277973751132645,0.005439374245213588,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,19.0,2003,22.682821681958973,0.1749824394886325,0.9289853271972319,0.005438701303178279,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,1.0,2001,13.736831693123534,0.3298211773332132,0.7780332560299494,0.042669158693738905,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,1.0,2002,13.731829894679768,0.3304911919399051,0.7744964990789295,0.04269065773122412,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,1.0,2003,13.736391556789831,0.3305627472414152,0.7783930884139573,0.04267101887504227,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,4.0,2001,14.428261030954816,0.26746902752442087,0.7885660314694496,0.03637367009680729,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,4.0,2002,14.425043673685263,0.26802130782200734,0.7882764741196835,0.03638566152702917,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,4.0,2003,14.42790372558562,0.2681248651497101,0.7862840030153581,0.036374987819511116,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,7.0,2001,15.220414968030655,0.2314514523714468,0.8421513299352696,0.030271329351925693,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,7.0,2002,15.218434771663347,0.23168662862316863,0.841711428239641,0.030277900962977916,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,7.0,2003,15.220324032741564,0.2318647570965141,0.8374574036464836,0.030271629039453154,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,13.0,2001,15.238369026517148,0.2309037121343699,0.8434882138811387,0.03021592589678872,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,13.0,2002,15.237509193433072,0.23089116644624305,0.8449777745870576,0.03021841541384452,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,13.0,2003,15.238326061678723,0.2309142205681089,0.8422139941297645,0.030216049920897717,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01775062/ILSVRC2012_val_00036589_n01775062,19.0,2001,15.244455374280355,0.2306108782315002,0.844366801251267,0.030198747726796038,0.031242647999491068,arithmetic_adaptive,False,3060,6120
