source_index,image_id,snr_db,noise_seed,method,tx_ms,rx_ms,total_ms,header_ok,tx_extra
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,raw_N3572_m8_Dc,55.79734098864719,70.64873405033723,126.44607503898442,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,arithmetic_N3572_m8_Dc,118.07826696895063,131.69848901452497,249.7767559834756,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,raw_N4084_m8_Dc,55.88975897990167,70.86478901328519,126.75454799318686,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,arithmetic_N4084_m8_Dc,117.25588497938588,131.89685699762776,249.15274197701365,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,19,2001,m8_D0,55.732823035214096,60.0310429581441,115.7638659933582,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,19,2001,m8_Dc_only,55.96294696442783,59.51247294433415,115.47541990876198,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,19,2001,m8_receiver_only_refiner,55.29580602888018,60.01617101719603,115.31197704607621,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,19,2001,m8_plus_latent_512,55.58401602320373,60.267349996138364,115.8513660193421,1,enhancement512
11,n01943899/ILSVRC2012_val_00005706_n01943899,19,2001,m8_plus_latent_1024,55.59064698172733,60.09957299102098,115.69021997274831,1,enhancement1024
11,n01943899/ILSVRC2012_val_00005706_n01943899,19,2001,raw_N3060_m8_Dc,55.32196501735598,70.21856697974727,125.54053199710324,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,19,2001,arithmetic_N3060_m8_Dc,117.7016319707036,132.05377699341625,249.75540896411985,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,19,2001,raw_N3060_m9_Dc,55.79797603422776,71.74073602072895,127.5387120549567,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,19,2001,arithmetic_N3060_m9_Dc,119.73278195364401,139.62933502625674,259.36211697990075,1,arithmetic
