method,source_index,snr_db,psnr_db,lpips_alex,dino_cosine
raw_N4084_m9_D0,0,7,14.76740837097168,0.15156676868597665,0.8782002925872803
raw_N4084_m9_D0,0,13,14.76740837097168,0.15156676868597665,0.8782002925872803
raw_N4084_m9_D0,0,19,14.76740837097168,0.15156676868597665,0.8782002925872803
raw_N4084_m9_Dc,0,1,9.703395207722982,0.5200397074222565,0.11858103921016057
raw_N4084_m9_Dc,0,4,15.676804224650065,0.14939100543657938,0.81965305407842
raw_N4084_m9_Dc,0,7,15.693902969360352,0.14851780235767365,0.7976691722869873
raw_N4084_m9_Dc,0,13,15.693902969360352,0.14851780235767365,0.7976691722869873
raw_N4084_m9_Dc,0,19,15.693902969360352,0.14851780235767365,0.7976691722869873
arithmetic_N3060_m7_D0,1,1,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N3060_m7_D0,1,4,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N3060_m7_D0,1,7,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N3060_m7_D0,1,13,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N3060_m7_D0,1,19,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N3060_m7_Dc,1,1,20.5515193939209,0.16255799432595572,0.6422007083892822
arithmetic_N3060_m7_Dc,1,4,20.5515193939209,0.16255799929300943,0.6422007083892822
arithmetic_N3060_m7_Dc,1,7,20.5515193939209,0.16255799929300943,0.6422007083892822
arithmetic_N3060_m7_Dc,1,13,20.5515193939209,0.16255799432595572,0.6422007083892822
arithmetic_N3060_m7_Dc,1,19,20.5515193939209,0.16255799432595572,0.6422007083892822
arithmetic_N3060_m8_D0,1,1,17.451913197835285,0.3196430802345276,0.36308308442433673
arithmetic_N3060_m8_D0,1,4,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N3060_m8_D0,1,7,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N3060_m8_D0,1,13,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N3060_m8_D0,1,19,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N3060_m8_Dc,1,1,18.166006088256836,0.3188561250766118,0.38850430647532147
arithmetic_N3060_m8_Dc,1,4,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N3060_m8_Dc,1,7,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N3060_m8_Dc,1,13,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N3060_m8_Dc,1,19,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N3060_m9_D0,1,1,13.378900210062662,0.5610318978627523,0.2091157337029775
arithmetic_N3060_m9_D0,1,4,18.890965779622395,0.22104722261428833,0.4483061035474141
arithmetic_N3060_m9_D0,1,7,20.524206161499023,0.12865634262561798,0.8784524202346802
arithmetic_N3060_m9_D0,1,13,20.524206161499023,0.12865633765856424,0.8784524202346802
arithmetic_N3060_m9_D0,1,19,20.524206161499023,0.12865633765856424,0.8784524202346802
arithmetic_N3060_m9_Dc,1,1,13.648735364278158,0.5557173987229665,0.18031421303749084
arithmetic_N3060_m9_Dc,1,4,19.68575096130371,0.20973080396652222,0.463871568441391
arithmetic_N3060_m9_Dc,1,7,21.61578941345215,0.11658566445112228,0.8231227993965149
arithmetic_N3060_m9_Dc,1,13,21.61578941345215,0.11658566445112228,0.8231227993965149
arithmetic_N3060_m9_Dc,1,19,21.61578941345215,0.11658566445112228,0.8231227993965149
arithmetic_N3572_m7_D0,1,1,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N3572_m7_D0,1,4,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N3572_m7_D0,1,7,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N3572_m7_D0,1,13,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N3572_m7_D0,1,19,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N3572_m7_Dc,1,1,20.5515193939209,0.16255799929300943,0.6422007083892822
arithmetic_N3572_m7_Dc,1,4,20.5515193939209,0.16255799432595572,0.6422007083892822
arithmetic_N3572_m7_Dc,1,7,20.5515193939209,0.16255799432595572,0.6422007083892822
arithmetic_N3572_m7_Dc,1,13,20.5515193939209,0.16255799929300943,0.6422007083892822
arithmetic_N3572_m7_Dc,1,19,20.5515193939209,0.16255799929300943,0.6422007083892822
arithmetic_N3572_m8_D0,1,1,18.901341756184895,0.22124792138735452,0.48104625940322876
arithmetic_N3572_m8_D0,1,4,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N3572_m8_D0,1,7,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N3572_m8_D0,1,13,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N3572_m8_D0,1,19,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N3572_m8_Dc,1,1,19.72610028584798,0.21424965063730875,0.4902129868666331
arithmetic_N3572_m8_Dc,1,4,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N3572_m8_Dc,1,7,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N3572_m8_Dc,1,13,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N3572_m8_Dc,1,19,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N3572_m9_D0,1,1,16.0631004969279,0.4501842161019643,0.39149871468544006
arithmetic_N3572_m9_D0,1,4,20.524206161499023,0.12865633765856424,0.8784524202346802
arithmetic_N3572_m9_D0,1,7,20.524206161499023,0.12865633765856424,0.8784524202346802
arithmetic_N3572_m9_D0,1,13,20.524206161499023,0.12865633765856424,0.8784524202346802
arithmetic_N3572_m9_D0,1,19,20.524206161499023,0.12865634262561798,0.8784524202346802
arithmetic_N3572_m9_Dc,1,1,16.659873008728027,0.4429413378238678,0.3981752395629883
arithmetic_N3572_m9_Dc,1,4,21.61578941345215,0.11658566445112228,0.8231227993965149
arithmetic_N3572_m9_Dc,1,7,21.61578941345215,0.11658566445112228,0.8231227993965149
arithmetic_N3572_m9_Dc,1,13,21.61578941345215,0.11658566445112228,0.8231227993965149
arithmetic_N3572_m9_Dc,1,19,21.61578941345215,0.11658566445112228,0.8231227993965149
arithmetic_N4084_m7_D0,1,1,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N4084_m7_D0,1,4,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N4084_m7_D0,1,7,19.626873016357422,0.177059143781662,0.6421431303024292
