method,source_index,snr_db,seed,mse,lpips_alex,normalized_latent,utility
full_tx_control,13,4.0,4102,0.0055578602477908134,0.08845099806785583,0.5893704891204834,0.020296664908528328
full_tx_control,14,4.0,4102,0.008273022249341011,0.09101827442646027,0.4620419442653656,0.021995270624756813
full_tx_control,15,4.0,4102,0.006665424443781376,0.07109882682561874,0.31456634402275085,0.016920970752835274
light_tx,0,4.0,4102,0.00489811971783638,0.12154902517795563,0.52852463722229,0.022338269278407097
light_tx,1,4.0,4102,0.00958956964313984,0.17056559026241302,0.6104440093040466,0.03275056928396225
light_tx,2,4.0,4102,0.0035675885155797005,0.12191171199083328,0.39535388350486755,0.01971229910850525
light_tx,3,4.0,4102,0.0012176483869552612,0.07613176852464676,0.31702589988708496,0.01200108416378498
light_tx,4,4.0,4102,0.003441035747528076,0.10151302069425583,0.40015023946762085,0.01759384013712406
light_tx,5,4.0,4102,0.0013046985259279609,0.06652726978063583,0.24943670630455017,0.010451792739331722
light_tx,6,4.0,4102,0.007634402718394995,0.15690994262695312,0.5111891031265259,0.028437290340662003
light_tx,7,4.0,4102,0.011050224304199219,0.14561013877391815,0.8099713325500488,0.03371095284819603
light_tx,8,4.0,4102,0.010112376883625984,0.14873656630516052,0.6679338216781616,0.0316653698682785
light_tx,9,4.0,4102,0.004187883343547583,0.09051430225372314,0.37999382615089417,0.01703925058245659
light_tx,10,4.0,4102,0.007781858555972576,0.137746661901474,0.9185686111450195,0.030742209404706955
light_tx,11,4.0,4102,0.004720216616988182,0.08426140993833542,0.36869779229164124,0.016833335161209106
light_tx,12,4.0,4102,0.009059335105121136,0.07630838453769684,0.4513436257839203,0.02120361104607582
light_tx,13,4.0,4102,0.005766957066953182,0.09143827855587006,0.594409704208374,0.020854882895946503
light_tx,14,4.0,4102,0.008378502912819386,0.0919998288154602,0.467955082654953,0.022258037701249123
light_tx,15,4.0,4102,0.006727181375026703,0.07317361980676651,0.31761059165000916,0.017220649868249893
pure_continuous,0,4.0,4103,0.004670269787311554,0.12130489945411682,0.44276779890060425,0.02122844010591507
pure_continuous,1,4.0,4103,0.008419912308454514,0.15309958159923553,0.4811578392982483,0.028541449457406998
pure_continuous,2,4.0,4103,0.0038534151390194893,0.09587600082159042,0.3615676462650299,0.017056692391633987
pure_continuous,3,4.0,4103,0.0013046571984887123,0.08210061490535736,0.30041491985321045,0.01251886785030365
pure_continuous,4,4.0,4103,0.0038826661184430122,0.08855143189430237,0.3625035881996155,0.01636284589767456
pure_continuous,5,4.0,4103,0.0015290904557332397,0.07038900256156921,0.2606637477874756,0.011174628511071205
pure_continuous,6,4.0,4103,0.006690635345876217,0.15082794427871704,0.42597496509552,0.026033179834485054
pure_continuous,7,4.0,4103,0.009661591611802578,0.12209396064281464,0.6539504528045654,0.028410492464900017
pure_continuous,8,4.0,4103,0.008883576840162277,0.14756876230239868,0.5417231917381287,0.029057685285806656
pure_continuous,9,4.0,4103,0.003725307062268257,0.09776739776134491,0.3411656618118286,0.016913704574108124
pure_continuous,10,4.0,4103,0.007063085213303566,0.12305787205696106,0.7442417144775391,0.02681128866970539
pure_continuous,11,4.0,4103,0.004423897247761488,0.0731663778424263,0.3232637345790863,0.014973172917962074
pure_continuous,12,4.0,4103,0.007581749465316534,0.0725056529045105,0.39194780588150024,0.01875179260969162
pure_continuous,13,4.0,4103,0.005516756325960159,0.09555687010288239,0.5083345174789429,0.020155787467956543
pure_continuous,14,4.0,4103,0.007423250935971737,0.08156706392765045,0.39920660853385925,0.019572023302316666
pure_continuous,15,4.0,4103,0.006328496616333723,0.07700497657060623,0.2957042455673218,0.01698603667318821
full_tx_control,0,4.0,4103,0.004841813817620277,0.12544551491737366,0.52773118019104,0.022663677111268044
