method,source_index,snr_db,seed,mse,lpips,utility
raw_N4084_m7_Dc,5,7.0,4103,0.005085114490937462,0.1674804538488388,0.021833159875821344
raw_N4084_m7_Dc,5,13.0,4101,0.005085114490937462,0.1674804538488388,0.021833159875821344
raw_N4084_m7_Dc,5,13.0,4102,0.005085114490937462,0.1674804538488388,0.021833159875821344
raw_N4084_m7_Dc,5,13.0,4103,0.005085114490937462,0.1674804389476776,0.021833158385705223
raw_N4084_m7_Dc,5,19.0,4101,0.005085114490937462,0.1674804538488388,0.021833159875821344
raw_N4084_m7_Dc,5,19.0,4102,0.005085114490937462,0.1674804538488388,0.021833159875821344
raw_N4084_m7_Dc,5,19.0,4103,0.005085114490937462,0.1674804538488388,0.021833159875821344
raw_N4084_m7_Dc,6,1.0,4101,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,1.0,4102,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,1.0,4103,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,4.0,4101,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,4.0,4102,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,4.0,4103,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,7.0,4101,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,7.0,4102,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,7.0,4103,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,13.0,4101,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,13.0,4102,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,13.0,4103,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,19.0,4101,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,19.0,4102,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,6,19.0,4103,0.015222198427468258,0.23989316821098328,0.039211515248566586
raw_N4084_m7_Dc,7,1.0,4101,0.029115400751238498,0.2784726321697235,0.056962663968210855
raw_N4084_m7_Dc,7,1.0,4102,0.029115400751238498,0.2784726321697235,0.056962663968210855
raw_N4084_m7_Dc,7,1.0,4103,0.029115400751238498,0.2784726619720459,0.05696266694844309
raw_N4084_m7_Dc,7,4.0,4101,0.029115400751238498,0.2784726619720459,0.05696266694844309
raw_N4084_m7_Dc,7,4.0,4102,0.029115400751238498,0.2784726321697235,0.056962663968210855
raw_N4084_m7_Dc,7,4.0,4103,0.029115400751238498,0.2784726321697235,0.056962663968210855
raw_N4084_m7_Dc,7,7.0,4101,0.029115400751238498,0.2784726619720459,0.05696266694844309
raw_N4084_m7_Dc,7,7.0,4102,0.029115400751238498,0.2784726619720459,0.05696266694844309
raw_N4084_m7_Dc,7,7.0,4103,0.029115400751238498,0.2784726321697235,0.056962663968210855
raw_N4084_m7_Dc,7,13.0,4101,0.029115400751238498,0.2784726321697235,0.056962663968210855
raw_N4084_m7_Dc,7,13.0,4102,0.029115400751238498,0.2784726619720459,0.05696266694844309
raw_N4084_m7_Dc,7,13.0,4103,0.029115400751238498,0.2784726619720459,0.05696266694844309
raw_N4084_m7_Dc,7,19.0,4101,0.029115400751238498,0.2784726321697235,0.056962663968210855
raw_N4084_m7_Dc,7,19.0,4102,0.029115400751238498,0.2784726321697235,0.056962663968210855
raw_N4084_m7_Dc,7,19.0,4103,0.029115400751238498,0.2784726619720459,0.05696266694844309
raw_N4084_m7_Dc,8,1.0,4101,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,1.0,4102,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,1.0,4103,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,4.0,4101,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,4.0,4102,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,4.0,4103,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,7.0,4101,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,7.0,4102,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,7.0,4103,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,13.0,4101,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,13.0,4102,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,13.0,4103,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,19.0,4101,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,19.0,4102,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,8,19.0,4103,0.01776189146838304,0.19910182058811188,0.03767207352719423
raw_N4084_m7_Dc,9,1.0,4101,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,1.0,4102,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,1.0,4103,0.0086082708683423,0.13881446421146393,0.022489717289488696
