method,snr_db,calls,tx_ms,rx_ms,total_ms,table_sha256
token-efficiency-digital-v1/raw/QPSK/N3060/m7,1,20,10.239866812480614,118.33398265880533,128.57384947128594,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m7,4,20,10.1874488114845,118.09574328945018,128.28319210093468,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m7,7,20,10.18433558056131,118.41949110967107,128.60382669023238,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m7,13,20,10.251939750742167,118.0894922988955,128.34143204963766,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m7,19,20,10.18111768644303,117.95448129996657,128.1355989864096,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m8,1,20,10.863112256629393,118.31129745696671,129.1744097135961,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m8,4,20,10.762266494566575,118.50598852615803,129.2682550207246,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m8,7,20,10.769621800864115,118.34084130241536,129.11046310327947,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m8,13,20,10.768747807014734,118.28739799675532,129.05614580377005,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m8,19,20,10.771479411050677,118.43956749071367,129.21104690176435,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m9,1,20,11.731019511353225,118.80053589702584,130.53155540837906,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m9,4,20,11.744746245676652,118.66521419142373,130.40996043710038,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m9,7,20,11.711235082475469,118.99750279262662,130.7087378751021,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m9,13,20,11.7144281626679,118.95371619611979,130.66814435878769,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m9,19,20,11.719263292616233,119.01811645366251,130.73737974627875,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m6,1,20,9.871969313826412,118.2117217045743,128.0836910184007,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m6,4,20,9.849887300515547,117.95873785740696,127.8086251579225,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m6,7,20,9.834250254789367,118.09735575225204,127.93160600704141,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m6,13,20,9.84717101091519,118.15510248416103,128.00227349507622,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m6,19,20,9.844093752326444,117.97189154895023,127.81598530127667,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m7,1,20,10.21164566045627,118.20464276243001,128.41628842288628,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m7,4,20,10.214896051911637,118.41063924948685,128.6255353013985,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m7,7,20,10.232471220660955,118.266351550119,128.49882277077995,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m7,13,20,10.219708707882091,118.05645764688961,128.2761663547717,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m7,19,20,10.23994809947908,118.20810490171425,128.44805300119333,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m8,1,20,10.787702538073063,118.37679598247632,129.1644985205494,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m8,4,20,10.792389640118927,118.28793929889798,129.0803289390169,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m8,7,20,10.78927755006589,118.25784815009683,129.04712570016272,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m8,13,20,10.803285654401407,118.34084273432381,129.14412838872522,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m8,19,20,10.792310338001698,118.3526843553409,129.1449946933426,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m9,1,20,11.750007356749848,118.73103919206187,130.48104654881172,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m9,4,20,11.722244956763461,118.73326114146039,130.45550609822385,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m9,7,20,11.726715270197019,118.6226321326103,130.34934740280733,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m9,13,20,11.721039091935381,118.70285809854977,130.42389719048515,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N4084/m9,19,20,11.75871504819952,118.83963804575615,130.59835309395567,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P2048,1,20,8.244118106085807,12.523179413983598,20.767297520069405,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P2048,4,20,8.221785892965272,12.516112887533382,20.737898780498654,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P2048,7,20,8.221742371097207,12.509231379954144,20.73097375105135,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P2048,13,20,8.21682559326291,12.508439744124189,20.7252653373871,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P2048,19,20,8.21296795620583,12.508688936941326,20.721656893147156,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P3060,1,20,8.224990003509447,12.508994393283501,20.73398439679295,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P3060,4,20,8.230513165472075,12.511510745389387,20.742023910861462,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P3060,7,20,8.21884420583956,12.507577467476949,20.72642167331651,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P3060,13,20,8.215464989189059,12.507122958777472,20.72258794796653,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P3060,19,20,8.236241346457973,12.616783729754388,20.85302507621236,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P4084,1,20,8.22564615518786,12.42711995728314,20.652766112471,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P4084,4,20,8.230398705927655,12.429524026811123,20.659922732738778,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P4084,7,20,8.223794744117185,12.426118779694661,20.649913523811847,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P4084,13,20,8.225424255942926,12.436500901822,20.661925157764927,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
P4084,19,20,8.226107654627413,12.42921234224923,20.655319996876642,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
