method,source_index,snr_db,seed_keys,psnr_db,lpips_alex,dino_cosine
arithmetic_adaptive_m789_Dc,32,1.0,"2001,2002,2003",19.182025909423828,0.1851795862118403,0.909373939037323
arithmetic_adaptive_m789_Dc,32,4.0,"2001,2002,2003",21.136474609375,0.14382706582546234,0.9361233711242676
arithmetic_adaptive_m789_Dc,32,7.0,"2001,2002,2003",21.136474609375,0.14382706582546234,0.9361233711242676
arithmetic_adaptive_m789_Dc,32,13.0,"2001,2002,2003",21.136474609375,0.14382706582546234,0.9361233711242676
arithmetic_adaptive_m789_Dc,32,19.0,"2001,2002,2003",21.136474609375,0.14382706582546234,0.9361233711242676
arithmetic_adaptive_m789_Dc,33,1.0,"2001,2002,2003",18.05941327412923,0.25883043309052783,0.8051383892695109
arithmetic_adaptive_m789_Dc,33,4.0,"2001,2002,2003",20.525463104248047,0.15236574411392212,0.8573186993598938
arithmetic_adaptive_m789_Dc,33,7.0,"2001,2002,2003",20.525463104248047,0.15236574411392212,0.8573186000188192
arithmetic_adaptive_m789_Dc,33,13.0,"2001,2002,2003",20.525463104248047,0.15236574411392212,0.8573184013366699
arithmetic_adaptive_m789_Dc,33,19.0,"2001,2002,2003",20.525463104248047,0.15236574411392212,0.8573184013366699
arithmetic_adaptive_m789_Dc,34,1.0,"2001,2002,2003",22.09601593017578,0.13059651851654053,0.8538069725036621
arithmetic_adaptive_m789_Dc,34,4.0,"2001,2002,2003",24.601680755615234,0.09305895119905472,0.8770718574523926
arithmetic_adaptive_m789_Dc,34,7.0,"2001,2002,2003",24.601680755615234,0.09305895368258159,0.8770717779795328
arithmetic_adaptive_m789_Dc,34,13.0,"2001,2002,2003",24.601680755615234,0.09305895368258159,0.8770716190338135
arithmetic_adaptive_m789_Dc,34,19.0,"2001,2002,2003",24.601680755615234,0.09305895368258159,0.8770716190338135
arithmetic_adaptive_m789_Dc,35,1.0,"2001,2002,2003",16.127233505249023,0.25734826922416687,0.8819470405578613
arithmetic_adaptive_m789_Dc,35,4.0,"2001,2002,2003",16.888019561767578,0.22585779428482056,0.894039511680603
arithmetic_adaptive_m789_Dc,35,7.0,"2001,2002,2003",16.888019561767578,0.2258577992518743,0.894039511680603
arithmetic_adaptive_m789_Dc,35,13.0,"2001,2002,2003",16.888019561767578,0.2258577992518743,0.894039511680603
arithmetic_adaptive_m789_Dc,35,19.0,"2001,2002,2003",16.888019561767578,0.2258577992518743,0.894039511680603
arithmetic_adaptive_m789_Dc,36,1.0,"2001,2002,2003",22.385778427124023,0.1343732625246048,0.8675699234008789
arithmetic_adaptive_m789_Dc,36,4.0,"2001,2002,2003",24.412736892700195,0.08423646539449692,0.9152346849441528
arithmetic_adaptive_m789_Dc,36,7.0,"2001,2002,2003",24.412736892700195,0.08423646539449692,0.915234645207723
arithmetic_adaptive_m789_Dc,36,13.0,"2001,2002,2003",24.412736892700195,0.08423646539449692,0.9152345657348633
arithmetic_adaptive_m789_Dc,36,19.0,"2001,2002,2003",24.412736892700195,0.08423646539449692,0.9152345657348633
arithmetic_adaptive_m789_Dc,37,1.0,"2001,2002,2003",21.786354064941406,0.14638102054595947,0.9016517400741577
arithmetic_adaptive_m789_Dc,37,4.0,"2001,2002,2003",24.517173767089844,0.10627917945384979,0.9174596667289734
arithmetic_adaptive_m789_Dc,37,7.0,"2001,2002,2003",24.517173767089844,0.10627917945384979,0.9174596071243286
arithmetic_adaptive_m789_Dc,37,13.0,"2001,2002,2003",24.517173767089844,0.10627917697032292,0.9174594879150391
arithmetic_adaptive_m789_Dc,37,19.0,"2001,2002,2003",24.517173767089844,0.10627917945384979,0.9174594879150391
arithmetic_adaptive_m789_Dc,38,1.0,"2001,2002,2003",20.481958389282227,0.16131974756717682,0.9297209978103638
arithmetic_adaptive_m789_Dc,38,4.0,"2001,2002,2003",22.647415161132812,0.09741710126399994,0.9623286724090576
arithmetic_adaptive_m789_Dc,38,7.0,"2001,2002,2003",22.647415161132812,0.09741710126399994,0.9623286922772726
arithmetic_adaptive_m789_Dc,38,13.0,"2001,2002,2003",22.647415161132812,0.09741710126399994,0.9623287320137024
arithmetic_adaptive_m789_Dc,38,19.0,"2001,2002,2003",22.647415161132812,0.09741710126399994,0.9623287320137024
arithmetic_adaptive_m789_Dc,39,1.0,"2001,2002,2003",17.317227045694988,0.22988740106423697,0.8071935176849365
arithmetic_adaptive_m789_Dc,39,4.0,"2001,2002,2003",16.759013175964355,0.2736409703890483,0.7203225294748942
arithmetic_adaptive_m789_Dc,39,7.0,"2001,2002,2003",19.33275032043457,0.15612551073233286,0.8369346658388773
arithmetic_adaptive_m789_Dc,39,13.0,"2001,2002,2003",19.33275032043457,0.1561255156993866,0.8369346261024475
arithmetic_adaptive_m789_Dc,39,19.0,"2001,2002,2003",19.33275032043457,0.15612551073233286,0.8369346261024475
arithmetic_adaptive_m789_Dc,40,1.0,"2001,2002,2003",19.68704605102539,0.20980100333690643,0.9127944310506185
arithmetic_adaptive_m789_Dc,40,4.0,"2001,2002,2003",22.182846069335938,0.12835446496804556,0.9587704539299011
arithmetic_adaptive_m789_Dc,40,7.0,"2001,2002,2003",22.182846069335938,0.12835446993509927,0.9587704737981161
