method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,psnr_db,lpips_alex,dino_cosine
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2001,4084,8168,1,0,False,0,20.345691680908203,0.31480297446250916,0.5684423446655273
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2002,4084,8168,1,0,True,112,22.753402709960938,0.17421063780784607,0.8024272322654724
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2002,4084,8168,1,0,True,87,22.48052215576172,0.1852826178073883,0.8063609600067139
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2003,4084,8168,1,0,True,112,21.716331481933594,0.2511010766029358,0.4031631648540497
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2003,4084,8168,1,0,True,87,21.38321304321289,0.27342039346694946,0.33543431758880615
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2001,4084,8168,1,1,True,112,23.933992385864258,0.13531145453453064,0.8417947888374329
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2001,4084,8168,1,1,True,87,23.965335845947266,0.13421054184436798,0.8429186344146729
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2002,4084,8168,1,1,True,112,23.928651809692383,0.13864576816558838,0.8347417712211609
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2002,4084,8168,1,1,True,87,23.95819854736328,0.13719910383224487,0.8378654718399048
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2003,4084,8168,1,1,True,112,23.875619888305664,0.13250920176506042,0.8530999422073364
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2003,4084,8168,1,1,True,87,23.90667152404785,0.1321578323841095,0.856348991394043
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2001,4084,8168,1,1,True,112,23.998126983642578,0.13237981498241425,0.8448054790496826
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2001,4084,8168,1,1,True,87,24.020755767822266,0.1312035620212555,0.846537709236145
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2002,4084,8168,1,1,True,112,23.98919677734375,0.13565316796302795,0.8417530059814453
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2002,4084,8168,1,1,True,87,24.011877059936523,0.13502544164657593,0.8454498648643494
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2003,4084,8168,1,1,True,112,23.9400691986084,0.13167019188404083,0.856971025466919
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2003,4084,8168,1,1,True,87,23.965225219726562,0.13109120726585388,0.8584021329879761
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2001,4084,8168,1,1,True,112,24.067615509033203,0.131526380777359,0.8496411442756653
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2001,4084,8168,1,1,True,87,24.075925827026367,0.13124649226665497,0.8511525988578796
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2002,4084,8168,1,1,True,112,24.062450408935547,0.13362537324428558,0.8553004264831543
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2002,4084,8168,1,1,True,87,24.07135772705078,0.13326400518417358,0.8569768667221069
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2003,4084,8168,1,1,True,112,24.028825759887695,0.13055196404457092,0.8598839044570923
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2003,4084,8168,1,1,True,87,24.041549682617188,0.13044507801532745,0.8602917194366455
