method,protocol,complex_uses,total_energy,scope,source_images,transmissions,psnr_db,psnr_db_ci_low,psnr_db_ci_high,ssim,ssim_ci_low,ssim_ci_high,lpips,lpips_ci_low,lpips_ci_high,dino,dino_ci_low,dino_ci_high
arithmetic_adaptive_N4498,common_paid_information,4498,8996,primary_1_4_7,100,900,20.605341298845083,19.9438895851771,21.241247571044507,0.5455119654370679,0.5095935566520527,0.5800828123916355,0.15538294629297325,0.14519255526244845,0.1657903570190279,0.9054897852738699,0.8964127402620187,0.914356151790255
arithmetic_adaptive_N4498,common_paid_information,4498,8996,high_13_19,100,600,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
perceptual_deepjscc,common_paid_information,3060,6120,snr_1,100,300,23.327992095947266,22.703156435171763,23.932535718123116,0.6225446407000224,0.5933385833253464,0.6506034426341452,0.2508411285777887,0.2356458832335968,0.2666371681901317,0.4165823387292524,0.38696777084081746,0.4453767753861223
perceptual_deepjscc,common_paid_information,3060,6120,snr_4,100,300,24.451501305898027,23.801996092319488,25.076896932601933,0.672554372449716,0.6452415417755644,0.6989132883275553,0.1984902561083436,0.18472969555885843,0.21296286029120282,0.5612580932676793,0.5321924161923428,0.5895403864818315
perceptual_deepjscc,common_paid_information,3060,6120,snr_7,100,300,25.35552401860555,24.6849062204361,26.006854935646064,0.7071616267164548,0.6815033448189497,0.7320649980679155,0.166541712457935,0.15373367930948725,0.1801639820936445,0.6554392363131046,0.6264436982348561,0.6829694410488009
perceptual_deepjscc,common_paid_information,3060,6120,snr_13,100,300,26.467272446950282,25.756489117304472,27.15305747413634,0.7430158895254135,0.7187905541732906,0.7663106805309651,0.13864782078812518,0.12652973636488118,0.15156013064490018,0.7451532711088658,0.7174980682209132,0.7700123211418587
perceptual_deepjscc,common_paid_information,3060,6120,snr_19,100,300,26.883247063954673,26.150476948261264,27.589208270549772,0.754392474591732,0.7306497541020313,0.7771616203387579,0.1303712017151217,0.11833310027296344,0.14310820023901766,0.7727641484141351,0.7455700827986006,0.7971093117445708
perceptual_deepjscc,common_paid_information,3060,6120,primary_1_4_7,100,900,24.378339140150285,23.730529572645818,25.00173085588879,0.667420213288731,0.6399895667946999,0.6938406798235245,0.20529103238135576,0.191435401598095,0.21980485183104048,0.5444265561033454,0.5168783742808217,0.5713709327317256
perceptual_deepjscc,common_paid_information,3060,6120,high_13_19,100,600,26.67525975545248,25.95342411653201,27.36830920497576,0.7487041820585728,0.7247247195492188,0.7717718905247746,0.13450951125162341,0.12242365991425086,0.14733517208936003,0.7589587097615005,0.7318092379985999,0.783528138035288
raw_adaptive,common_paid_information,3060,6120,snr_1,100,300,18.019461431503295,17.43240873360634,18.607948631048203,0.45221980579197407,0.4148751191844542,0.4887418505195529,0.23666967991739515,0.22423175116628413,0.24887764502813423,0.8486799637476604,0.8349260649482408,0.8622455645948648
raw_adaptive,common_paid_information,3060,6120,snr_4,100,300,19.69081347465515,19.05573986649513,20.309368739207585,0.5124717841545741,0.4755608894576629,0.5480702193217973,0.1771490621877213,0.16673616575977457,0.18771459749775632,0.8897491864363352,0.8788718176782131,0.900175580754876
raw_adaptive,common_paid_information,3060,6120,snr_7,100,300,21.16968646685283,20.510058690150576,21.803325586795808,0.5680801787475745,0.5327111110985278,0.6018979015462099,0.1374709875509143,0.1283105917122836,0.14699930123239757,0.9217984010775885,0.9143003273308274,0.9289661433994768
raw_adaptive,common_paid_information,3060,6120,snr_13,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160606622696,0.5343905707709491,0.6038470960147678,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
raw_adaptive,common_paid_information,3060,6120,snr_19,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160606622696,0.5343905707709491,0.6038470960147678,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
raw_adaptive,common_paid_information,3060,6120,primary_1_4_7,100,900,19.626653791003758,19.010011113193293,20.22689920449257,0.5109239228980408,0.4744075153751506,0.5459335831414082,0.18376324321867696,0.173368449565075,0.1942548684240318,0.8867425170871946,0.876886409704884,0.8963276592410273
raw_adaptive,common_paid_information,3060,6120,high_13_19,100,600,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160606622696,0.5343905707709491,0.6038470960147678,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
raw_adaptive_N4204,common_paid_information,4204,8408,snr_1,100,300,19.31372365951538,18.712033107280735,19.91357933425904,0.5042878727614879,0.4678671048916877,0.5393093719221653,0.18613206322615344,0.17557688079355283,0.19683920240743705,0.8832562629381815,0.8720959631204604,0.8938404599378508
raw_adaptive_N4204,common_paid_information,4204,8408,snr_4,100,300,21.114909931818648,20.46156927188237,21.753090813477844,0.5676990136504173,0.5323144597324233,0.6016400576246281,0.14019549380987884,0.1303095982987434,0.1505524093757073,0.919793839653333,0.9118798420528571,0.9272957887649536
raw_adaptive_N4204,common_paid_information,4204,8408,snr_7,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
raw_adaptive_N4204,common_paid_information,4204,8408,snr_13,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
raw_adaptive_N4204,common_paid_information,4204,8408,snr_19,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
raw_adaptive_N4204,common_paid_information,4204,8408,primary_1_4_7,100,900,20.557453872892594,19.91827905337016,21.170221915139088,0.547267645696799,0.5116094007177484,0.5815923350842465,0.1540743925774263,0.14439385993737314,0.16398266975493692,0.9089696180820465,0.9009942052248452,0.9166913559370568
raw_adaptive_N4204,common_paid_information,4204,8408,high_13_19,100,600,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
raw_adaptive_N4498,common_paid_information,4498,8996,snr_1,100,300,19.51526854832967,18.90250997455915,20.11502727739016,0.5089048455655575,0.4722950666012865,0.5441784973765413,0.18110493444527187,0.17053223104417947,0.1919011790227765,0.891056290070216,0.8810244271655878,0.9005173667867982
raw_adaptive_N4498,common_paid_information,4498,8996,snr_4,100,300,21.182494570414228,20.527137904167173,21.813825031042096,0.56888439565897,0.533504368091623,0.6028451361569266,0.13696459986890358,0.12792644948093218,0.14634714204849053,0.922867212295532,0.9158151912887889,0.9297476117362581
raw_adaptive_N4498,common_paid_information,4498,8996,snr_7,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
raw_adaptive_N4498,common_paid_information,4498,8996,snr_13,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
raw_adaptive_N4498,common_paid_information,4498,8996,snr_19,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
raw_adaptive_N4498,common_paid_information,4498,8996,primary_1_4_7,100,900,20.64716371536255,20.0061008497874,21.263868527068034,0.549201763967673,0.5133644867605633,0.5834758339288334,0.15132171833680735,0.14184010839358802,0.1610055817988598,0.9125940846734575,0.9050758149060942,0.9199876687659158
raw_adaptive_N4498,common_paid_information,4498,8996,high_13_19,100,600,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
swin_ra32,author_assumed_information,4096,8192,snr_1,100,300,24.360531082153326,23.55882549556097,25.121640241146075,0.6873093699415527,0.6592027476876976,0.7144395939211051,0.3204551990764836,0.29557254532709104,0.34617108884826286,0.5917784319072961,0.5581133483033626,0.6244580024691921
swin_ra32,author_assumed_information,4096,8192,snr_4,100,300,26.10754652659098,25.34107079203923,26.849201259930933,0.7393108866612116,0.7142236843705178,0.7632916619703176,0.2745190222064654,0.25071546792627003,0.29929439962670845,0.7104358736673991,0.6840901100933549,0.7364493629535042
swin_ra32,author_assumed_information,4096,8192,snr_7,100,300,27.169073123931884,26.393304696877802,27.917868120034534,0.7746781665086746,0.752257638971011,0.7963236687729753,0.23894873483727375,0.21663786883341768,0.2621743539351349,0.7703706763188043,0.7465385981226962,0.7935222543875378
swin_ra32,author_assumed_information,4096,8192,snr_13,100,300,28.307627118428545,27.518385061422983,29.07240295124054,0.8106553518772125,0.7908073451469345,0.8297168363978464,0.20564402104976273,0.18478453585893526,0.22716138071908307,0.8239378901322684,0.8025099114080272,0.8438723363777006
swin_ra32,author_assumed_information,4096,8192,snr_19,100,300,28.726233476003014,27.927299472331992,29.499561061700195,0.8222556461890538,0.8031121836404003,0.8406114333420989,0.2001347507815808,0.179494728277515,0.22154547378234565,0.8364873606959979,0.8155555192107954,0.8556195376565058
swin_ra32,author_assumed_information,4096,8192,primary_1_4_7,100,900,25.879050244225397,25.103521600776254,26.63002428494559,0.7337661410371463,0.7086261820776594,0.7579401518139574,0.2779743187067409,0.2544345489582565,0.30243089816864166,0.6908616606311665,0.6640992399294758,0.7173719425518067
