method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,checkpoint_sha256,psnr_db,lpips_alex,dino_cosine
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.03968620300293,0.2514666020870209,0.7884498238563538
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.092042922973633,0.2523990273475647,0.7762225866317749
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.250944137573242,0.23978562653064728,0.8368762731552124
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.307161331176758,0.240730881690979,0.8290691375732422
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.267398834228516,0.24033962190151215,0.876886248588562
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.3327693939209,0.23948366940021515,0.8700976371765137
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.21337890625,0.24346879124641418,0.8180046677589417
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.26603889465332,0.24233125150203705,0.796953558921814
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.39403533935547,0.2304704636335373,0.8708934187889099
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.46430015563965,0.23119795322418213,0.8573716282844543
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.392086029052734,0.2312479019165039,0.8860812187194824
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.468364715576172,0.23182949423789978,0.8767954707145691
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.376155853271484,0.23384782671928406,0.8572820425033569
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.433088302612305,0.2340044379234314,0.8385083675384521
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.42633056640625,0.22927004098892212,0.8778911828994751
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.501728057861328,0.22976680099964142,0.8659497499465942
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.423301696777344,0.22852329909801483,0.8841742277145386
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.499387741088867,0.2294786274433136,0.8770973682403564
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.419048309326172,0.2315160632133484,0.8735135197639465
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.482267379760742,0.23105986416339874,0.8574016094207764
original_residual_control,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2001,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,16.284387588500977,0.22193841636180878,0.6065285801887512
predicted_innovation_candidate,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2001,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,16.337596893310547,0.218853160738945,0.6360299587249756
original_residual_control,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2002,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,15.781063079833984,0.24570289254188538,0.6388475894927979
predicted_innovation_candidate,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2002,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,15.811492919921875,0.24207116663455963,0.6401768922805786
original_residual_control,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2003,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,15.338171005249023,0.3458566665649414,0.35891813039779663
predicted_innovation_candidate,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2003,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,15.372090339660645,0.34306639432907104,0.36421656608581543
original_residual_control,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.179216384887695,0.16688470542430878,0.8535512685775757
predicted_innovation_candidate,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.19942855834961,0.16794338822364807,0.85636305809021
original_residual_control,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.222087860107422,0.1706247478723526,0.8651074171066284
predicted_innovation_candidate,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.282798767089844,0.16693180799484253,0.8548879623413086
original_residual_control,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.126174926757812,0.1636263132095337,0.8887038230895996
predicted_innovation_candidate,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.159273147583008,0.16284503042697906,0.8968881368637085
original_residual_control,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.371173858642578,0.16216982901096344,0.8669695854187012
predicted_innovation_candidate,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.403533935546875,0.16115781664848328,0.8677085638046265
original_residual_control,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.411039352416992,0.1643744856119156,0.8810527920722961
predicted_innovation_candidate,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.47612190246582,0.15954944491386414,0.8704341650009155
original_residual_control,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.336196899414062,0.15858766436576843,0.8900812864303589
predicted_innovation_candidate,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.371318817138672,0.15812063217163086,0.8942989706993103
original_residual_control,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.558042526245117,0.15767404437065125,0.8917345404624939
predicted_innovation_candidate,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.60881805419922,0.1543295532464981,0.8816401362419128
