method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,1.0,2003,4084,8168,1,0,True,106,2047.9998779296875,20.57579231262207,0.19986547529697418,0.8975542783737183
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,4.0,2001,4084,8168,1,1,True,110,2047.999755859375,22.009395599365234,0.14592579007148743,0.9062998294830322
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,4.0,2001,4084,8168,1,1,True,106,2047.9998779296875,22.044841766357422,0.14515165984630585,0.9080742597579956
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,4.0,2002,4084,8168,1,1,True,110,2047.999755859375,22.03510093688965,0.15018226206302643,0.9098585247993469
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,4.0,2002,4084,8168,1,1,True,106,2047.9998779296875,22.071311950683594,0.14941546320915222,0.9112012386322021
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,4.0,2003,4084,8168,1,1,True,110,2047.999755859375,21.959911346435547,0.1465199887752533,0.907999575138092
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,4.0,2003,4084,8168,1,1,True,106,2047.9998779296875,21.993627548217773,0.14594236016273499,0.9088783264160156
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,7.0,2001,4084,8168,1,1,True,110,2047.999755859375,22.23407554626465,0.14191888272762299,0.9134198427200317
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,7.0,2001,4084,8168,1,1,True,106,2047.9998779296875,22.259056091308594,0.14134488999843597,0.9139765501022339
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,7.0,2002,4084,8168,1,1,True,110,2047.999755859375,22.25423812866211,0.14609402418136597,0.9157399535179138
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,7.0,2002,4084,8168,1,1,True,106,2047.9998779296875,22.279203414916992,0.14570462703704834,0.9163161516189575
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,7.0,2003,4084,8168,1,1,True,110,2047.999755859375,22.186567306518555,0.14370636641979218,0.9128851890563965
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,7.0,2003,4084,8168,1,1,True,106,2047.9998779296875,22.211837768554688,0.14334018528461456,0.9136433601379395
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,13.0,2001,4084,8168,1,1,True,110,2047.999755859375,22.465181350708008,0.13845030963420868,0.9154723882675171
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,13.0,2001,4084,8168,1,1,True,106,2047.9998779296875,22.47332763671875,0.1383294016122818,0.9156430959701538
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,13.0,2002,4084,8168,1,1,True,110,2047.999755859375,22.477312088012695,0.14173388481140137,0.9181900024414062
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,13.0,2002,4084,8168,1,1,True,106,2047.9998779296875,22.485126495361328,0.14154034852981567,0.9182120561599731
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,13.0,2003,4084,8168,1,1,True,110,2047.999755859375,22.43984031677246,0.13963299989700317,0.918767511844635
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,13.0,2003,4084,8168,1,1,True,106,2047.9998779296875,22.44880485534668,0.13945990800857544,0.9188657999038696
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,19.0,2001,4084,8168,1,1,True,110,2047.999755859375,22.538314819335938,0.13820888102054596,0.9167793989181519
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,19.0,2001,4084,8168,1,1,True,106,2047.9998779296875,22.540483474731445,0.13819679617881775,0.9168419241905212
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,19.0,2002,4084,8168,1,1,True,110,2047.999755859375,22.544612884521484,0.13964080810546875,0.9178255200386047
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,19.0,2002,4084,8168,1,1,True,106,2047.9998779296875,22.546611785888672,0.13958585262298584,0.9178155064582825
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,19.0,2003,4084,8168,1,1,True,110,2047.999755859375,22.526470184326172,0.13869833946228027,0.91887366771698
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,19.0,2003,4084,8168,1,1,True,106,2047.9998779296875,22.5290470123291,0.13869068026542664,0.9188751578330994
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,1.0,2001,4084,8168,1,0,True,136,2047.999755859375,21.021852493286133,0.2004043459892273,0.796588659286499
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,1.0,2001,4084,8168,1,0,True,128,2047.9998779296875,20.711767196655273,0.21722108125686646,0.7868218421936035
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,1.0,2002,4084,8168,1,0,True,136,2047.999755859375,20.1480712890625,0.25159555673599243,0.7291781306266785
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,1.0,2002,4084,8168,1,0,True,128,2047.9998779296875,19.92820167541504,0.2662799060344696,0.7347368001937866
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,1.0,2003,4084,8168,1,0,True,136,2047.999755859375,20.837448120117188,0.245797261595726,0.7250314354896545
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,1.0,2003,4084,8168,1,0,True,128,2047.9998779296875,20.548221588134766,0.25300851464271545,0.6738502979278564
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,4.0,2001,4084,8168,1,1,True,136,2047.999755859375,21.955245971679688,0.1592586636543274,0.8606505393981934
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,4.0,2001,4084,8168,1,1,True,128,2047.9998779296875,21.997055053710938,0.15607143938541412,0.8601259589195251
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,4.0,2002,4084,8168,1,1,True,136,2047.999755859375,22.05699920654297,0.1512613594532013,0.7911899089813232
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,4.0,2002,4084,8168,1,1,True,128,2047.9998779296875,22.085174560546875,0.15001387894153595,0.7894456386566162
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,4.0,2003,4084,8168,1,1,True,136,2047.999755859375,21.968021392822266,0.1560364067554474,0.8309329748153687
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,4.0,2003,4084,8168,1,1,True,128,2047.9998779296875,22.007253646850586,0.15347272157669067,0.8245333433151245
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,7.0,2001,4084,8168,1,1,True,136,2047.999755859375,22.143917083740234,0.14870920777320862,0.8637124300003052
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,7.0,2001,4084,8168,1,1,True,128,2047.9998779296875,22.168495178222656,0.14765159785747528,0.8626106977462769
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,7.0,2002,4084,8168,1,1,True,136,2047.999755859375,22.196067810058594,0.14569516479969025,0.7836014628410339
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,7.0,2002,4084,8168,1,1,True,128,2047.9998779296875,22.214733123779297,0.14499160647392273,0.7846076488494873
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,7.0,2003,4084,8168,1,1,True,136,2047.999755859375,22.150928497314453,0.14721396565437317,0.8005669116973877
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,7.0,2003,4084,8168,1,1,True,128,2047.9998779296875,22.17393684387207,0.14654287695884705,0.7964104413986206
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,13.0,2001,4084,8168,1,1,True,136,2047.999755859375,22.319814682006836,0.14238770306110382,0.8351325988769531
