method,source_index,image_id,snr_db,seed,N,E,decoder,decoder_sha256,protocol_id,model_context_sha256,evidence,psnr_db,lpips_alex,dino_cosine
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,21.46662139892578,0.13308237493038177,0.7683706879615784
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,new_selected_model,22.928436279296875,0.08314993232488632,0.8511662483215332
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,22.14432716369629,0.10364469140768051,0.8301857709884644
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,22.07172203063965,0.10448166728019714,0.7911995053291321
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,new_selected_model,23.06756591796875,0.09805120527744293,0.8766120076179504
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,22.00212287902832,0.10758579522371292,0.779790461063385
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,21.937843322753906,0.11211469024419785,0.786540150642395
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,new_selected_model,22.885387420654297,0.09253054857254028,0.7828529477119446
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,22.139984130859375,0.1039685532450676,0.7985546588897705
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,22.08244514465332,0.10500993579626083,0.8091545104980469
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,new_selected_model,23.362140655517578,0.07261667400598526,0.8799500465393066
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,22.297588348388672,0.09923969954252243,0.8334958553314209
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,22.222301483154297,0.09941963106393814,0.8190678358078003
