method,source_index,snr_db,seed,repeat,position,tx_ms,rx_ms,total_ms
full_tx_control,66,1.0,2001,0,1,111.4203039323911,113.69925609324127,225.11956002563238
light_tx,66,1.0,2001,0,2,10.951893986202776,113.66709508001804,124.61898906622082
full_tx_control,66,1.0,2001,1,0,111.0089709982276,113.45903808251023,224.46800908073783
light_tx,66,1.0,2001,1,1,11.02894195355475,113.46283101011068,124.49177296366543
pure_continuous,66,1.0,2001,1,2,7.415930973365903,11.191937024705112,18.607867998071015
pure_continuous,66,4.0,2001,0,0,7.394321961328387,11.172127909958363,18.56644987128675
full_tx_control,66,4.0,2001,0,1,112.33197804540396,113.19194198586047,225.52392003126442
light_tx,66,4.0,2001,0,2,10.972088086418808,113.01078903488815,123.98287712130696
full_tx_control,66,4.0,2001,1,0,110.69961194880307,113.27948095276952,223.97909290157259
light_tx,66,4.0,2001,1,1,10.944293928332627,112.99365293234587,123.9379468606785
pure_continuous,66,4.0,2001,1,2,7.393742096610367,11.184839997440577,18.578582094050944
pure_continuous,66,7.0,2001,0,0,7.380482973530889,11.182109010405838,18.562591983936727
full_tx_control,66,7.0,2001,0,1,111.04567896109074,113.29801508691162,224.34369404800236
light_tx,66,7.0,2001,0,2,10.946793016046286,113.27073094435036,124.21752396039665
full_tx_control,66,7.0,2001,1,0,111.2948409281671,113.32855990622193,224.62340083438903
light_tx,66,7.0,2001,1,1,10.930265998467803,113.0922989686951,124.02256496716291
pure_continuous,66,7.0,2001,1,2,7.410865044221282,11.164303054101765,18.575168098323047
pure_continuous,66,13.0,2001,0,0,7.40224402397871,11.169195990078151,18.57144001405686
full_tx_control,66,13.0,2001,0,1,111.38245102483779,113.24927699752152,224.6317280223593
light_tx,66,13.0,2001,0,2,10.944206966087222,113.45720500685275,124.40141197293997
full_tx_control,66,13.0,2001,1,0,111.08677391894162,113.59219707082957,224.6789709897712
light_tx,66,13.0,2001,1,1,10.933584067970514,113.3746950654313,124.30827913340181
pure_continuous,66,13.0,2001,1,2,7.4067560490220785,11.165771051310003,18.57252710033208
pure_continuous,66,19.0,2001,0,0,7.409880985505879,11.182465008459985,18.592345993965864
full_tx_control,66,19.0,2001,0,1,110.95843103248626,113.27724705915898,224.23567809164524
