method,source_index,image_id,snr_db,seed,mse,lpips_alex,normalized_latent,utility,U_image,header_ok,body_crc_ok
P2048,12,n01532829/ILSVRC2012_val_00030042_n01532829,4,4103,0.00893398653715849,0.08816521614789963,0.46616870164871216,0.022412195801734924,0.017750509083271027,1,not_applicable
P2048,13,n01534433/ILSVRC2012_val_00030911_n01534433,4,4103,0.008234048262238503,0.1258346140384674,0.6472622156143188,0.027290131896734238,0.020817510783672333,1,not_applicable
P2048,14,n01537544/ILSVRC2012_val_00031716_n01537544,4,4103,0.010074027813971043,0.12846067547798157,0.5069075226783752,0.02798916958272457,0.022920094430446625,1,not_applicable
P2048,15,n01558993/ILSVRC2012_val_00029417_n01558993,4,4103,0.006949370261281729,0.09771181643009186,0.3507281541824341,0.020227832719683647,0.016720551997423172,1,not_applicable
P2048,0,n01440764/ILSVRC2012_val_00045866_n01440764,7,4101,0.005385293625295162,0.13679704070091248,0.5013599991798401,0.024078598245978355,0.019064998254179955,1,not_applicable
P2048,1,n01443537/ILSVRC2012_val_00044095_n01443537,7,4101,0.009464744478464127,0.1643717885017395,0.543329119682312,0.03133521229028702,0.025901922956109047,1,not_applicable
P2048,2,n01484850/ILSVRC2012_val_00029481_n01484850,7,4101,0.003596753580495715,0.10469192266464233,0.38400107622146606,0.017905957996845245,0.014065946452319622,1,not_applicable
P2048,3,n01491361/ILSVRC2012_val_00049000_n01491361,7,4101,0.0013618629891425371,0.09017913043498993,0.311670184135437,0.013496478088200092,0.010379776358604431,1,not_applicable
P2048,4,n01494475/ILSVRC2012_val_00027283_n01494475,7,4101,0.004053135402500629,0.10285811126232147,0.3910907506942749,0.01824985444545746,0.014338946901261806,1,not_applicable
P2048,5,n01496331/ILSVRC2012_val_00041248_n01496331,7,4101,0.002115249168127775,0.08311432600021362,0.25551003217697144,0.012981781736016273,0.010426681488752365,1,not_applicable
P2048,6,n01498041/ILSVRC2012_val_00030470_n01498041,7,4101,0.007907981052994728,0.16670270264148712,0.4743647873401642,0.02932189777493477,0.02457825094461441,1,not_applicable
P2048,7,n01514668/ILSVRC2012_val_00016052_n01514668,7,4101,0.010400775820016861,0.15174005925655365,0.7317949533462524,0.032892730087041855,0.025574781000614166,1,not_applicable
P2048,8,n01514859/ILSVRC2012_val_00006195_n01514859,7,4101,0.010684097185730934,0.18366463482379913,0.6349219679832458,0.03539977967739105,0.029050560668110847,1,not_applicable
P2048,9,n01518878/ILSVRC2012_val_00033181_n01518878,7,4101,0.005037145689129829,0.09668198227882385,0.36450034379959106,0.018350347876548767,0.01470534410327673,1,not_applicable
P2048,10,n01530575/ILSVRC2012_val_00027374_n01530575,7,4101,0.007099570706486702,0.12721098959445953,0.8267414569854736,0.02808808535337448,0.019820669665932655,1,not_applicable
P2048,11,n01531178/ILSVRC2012_val_00025888_n01531178,7,4101,0.004696756135672331,0.08131103962659836,0.3377165198326111,0.01620502583682537,0.012827860191464424,1,not_applicable
P2048,12,n01532829/ILSVRC2012_val_00030042_n01532829,7,4101,0.008457666262984276,0.07732263207435608,0.41212230920791626,0.020311152562499046,0.016189929097890854,1,not_applicable
P2048,13,n01534433/ILSVRC2012_val_00030911_n01534433,7,4101,0.005743551068007946,0.09333189576864243,0.5815721750259399,0.020892461761832237,0.015076740644872189,1,not_applicable
