source_index,image_id,snr_db,noise_seed,N,E,family,sent_mode,received_mode,header_ok,body_crc_ok,source_complete,payload_bits,arithmetic_length_field,source_error,candidate_key,method,psnr_db,lpips_alex,dino_cosine,renderer,policy,selected_mode
4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2003,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', '9ccda56d65c2080e64bd409049f29b5bfaf74f392dfb74771ba0c90a77b74326')",raw_N3572_m7_D0,15.716838836669922,0.29692456126213074,0.8595544695854187,D0,reliability,7
4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2001,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '87883194ef321a5ec5bed362f01f7541b38e0708950e9aa48ab9c89700e1202d')",raw_N3572_m8_D0,16.726186752319336,0.23004476726055145,0.8443152904510498,D0,reliability,8
4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2002,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '87883194ef321a5ec5bed362f01f7541b38e0708950e9aa48ab9c89700e1202d')",raw_N3572_m8_D0,16.726186752319336,0.23004476726055145,0.8443152904510498,D0,reliability,8
4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2003,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '87883194ef321a5ec5bed362f01f7541b38e0708950e9aa48ab9c89700e1202d')",raw_N3572_m8_D0,16.726186752319336,0.23004476726055145,0.8443152904510498,D0,reliability,8
4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e3654d75fe8e849ae15936f2a1ef145402f1cfbf15163b0121d07127a65c86e5')",raw_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,reliability,9
4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e3654d75fe8e849ae15936f2a1ef145402f1cfbf15163b0121d07127a65c86e5')",raw_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,reliability,9
4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e3654d75fe8e849ae15936f2a1ef145402f1cfbf15163b0121d07127a65c86e5')",raw_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,reliability,9
4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e3654d75fe8e849ae15936f2a1ef145402f1cfbf15163b0121d07127a65c86e5')",raw_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,reliability,9
4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e3654d75fe8e849ae15936f2a1ef145402f1cfbf15163b0121d07127a65c86e5')",raw_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,reliability,9
4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e3654d75fe8e849ae15936f2a1ef145402f1cfbf15163b0121d07127a65c86e5')",raw_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,reliability,9
4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e3654d75fe8e849ae15936f2a1ef145402f1cfbf15163b0121d07127a65c86e5')",raw_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,reliability,9
4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e3654d75fe8e849ae15936f2a1ef145402f1cfbf15163b0121d07127a65c86e5')",raw_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,reliability,9
4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e3654d75fe8e849ae15936f2a1ef145402f1cfbf15163b0121d07127a65c86e5')",raw_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,reliability,9
5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2001,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', '496247bb7b349cbbfbe8d57288eb086a0fbb7b2b9e1ba3404503680797a50ce2')",raw_N3572_m7_D0,22.051319122314453,0.21365326642990112,0.8297808766365051,D0,reliability,7
5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2002,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', '496247bb7b349cbbfbe8d57288eb086a0fbb7b2b9e1ba3404503680797a50ce2')",raw_N3572_m7_D0,22.051319122314453,0.21365326642990112,0.8297808766365051,D0,reliability,7
5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2003,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', '496247bb7b349cbbfbe8d57288eb086a0fbb7b2b9e1ba3404503680797a50ce2')",raw_N3572_m7_D0,22.051319122314453,0.21365326642990112,0.8297808766365051,D0,reliability,7
5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2001,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '8ccdfd7184b593a77b49aba00d69a2f838699fb52b302171f1e88a98a52b2f81')",raw_N3572_m8_D0,22.687042236328125,0.16292642056941986,0.8507251739501953,D0,reliability,8
5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2002,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '8ccdfd7184b593a77b49aba00d69a2f838699fb52b302171f1e88a98a52b2f81')",raw_N3572_m8_D0,22.687042236328125,0.16292642056941986,0.8507251739501953,D0,reliability,8
5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2003,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '8ccdfd7184b593a77b49aba00d69a2f838699fb52b302171f1e88a98a52b2f81')",raw_N3572_m8_D0,22.687042236328125,0.16292640566825867,0.8507251739501953,D0,reliability,8
5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', '06b5682a60405b13beb5fb8e2ac13b524b0c185e541eeca95a8a6f7a0ea49dd0')",raw_N3572_m9_D0,23.066692352294922,0.15026476979255676,0.8560503721237183,D0,reliability,9
5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', '06b5682a60405b13beb5fb8e2ac13b524b0c185e541eeca95a8a6f7a0ea49dd0')",raw_N3572_m9_D0,23.066692352294922,0.15026476979255676,0.8560503721237183,D0,reliability,9
