family,budget,renderer,policy,source_index,snr_db,psnr_db,lpips_alex,dino_cosine,selected_mode
arithmetic,3572,D0,goodput,13,7.0,20.474977493286133,0.1688289393981298,0.922906756401062,9
arithmetic,3572,D0,goodput,13,13.0,20.474977493286133,0.1688289393981298,0.922906756401062,9
arithmetic,3572,D0,goodput,13,19.0,20.474977493286133,0.1688289443651835,0.922906756401062,9
arithmetic,3572,D0,goodput,14,1.0,13.829339981079102,0.1964653879404068,0.8500139713287354,7
arithmetic,3572,D0,goodput,14,4.0,17.064481735229492,0.10234862565994263,0.9358943700790405,9
arithmetic,3572,D0,goodput,14,7.0,17.064481735229492,0.10234862565994263,0.9358943700790405,9
arithmetic,3572,D0,goodput,14,13.0,17.064481735229492,0.10234862565994263,0.9358943700790405,9
arithmetic,3572,D0,goodput,14,19.0,17.064481735229492,0.10234862565994263,0.9358943700790405,9
arithmetic,3572,D0,goodput,15,1.0,22.66079330444336,0.19485674301783243,0.8706539273262024,7
arithmetic,3572,D0,goodput,15,4.0,25.557968139648438,0.11673906445503235,0.9287845492362976,9
arithmetic,3572,D0,goodput,15,7.0,25.557968139648438,0.11673906445503235,0.9287845492362976,9
arithmetic,3572,D0,goodput,15,13.0,25.557968139648438,0.11673906445503235,0.9287845492362976,9
arithmetic,3572,D0,goodput,15,19.0,25.557968139648438,0.11673906445503235,0.9287845492362976,9
arithmetic,3572,D0,goodput,16,1.0,16.67959976196289,0.2582848370075226,0.9168410897254944,7
arithmetic,3572,D0,goodput,16,4.0,17.109444936116535,0.23184178272883096,0.8986321091651917,9
arithmetic,3572,D0,goodput,16,7.0,19.845169067382812,0.14582985639572144,0.9624718427658081,9
arithmetic,3572,D0,goodput,16,13.0,19.845169067382812,0.14582985639572144,0.9624718427658081,9
arithmetic,3572,D0,goodput,16,19.0,19.845169067382812,0.14582985639572144,0.9624718427658081,9
arithmetic,3572,D0,goodput,17,1.0,14.380048751831055,0.24362879494825998,0.8877184391021729,7
arithmetic,3572,D0,goodput,17,4.0,15.025498708089193,0.21298172076543173,0.8878869016965231,9
arithmetic,3572,D0,goodput,17,7.0,15.850854873657227,0.17488184571266174,0.9246348142623901,9
arithmetic,3572,D0,goodput,17,13.0,15.850854873657227,0.17488184571266174,0.9246348142623901,9
arithmetic,3572,D0,goodput,17,19.0,15.850854873657227,0.17488184571266174,0.9246348142623901,9
arithmetic,3572,D0,goodput,18,1.0,19.398479461669922,0.21092495322227478,0.9078855514526367,7
arithmetic,3572,D0,goodput,18,4.0,21.522438049316406,0.13592782616615295,0.9363512992858887,9
arithmetic,3572,D0,goodput,18,7.0,21.522438049316406,0.13592782616615295,0.9363512992858887,9
arithmetic,3572,D0,goodput,18,13.0,21.522438049316406,0.13592782616615295,0.9363512992858887,9
arithmetic,3572,D0,goodput,18,19.0,21.522438049316406,0.13592782616615295,0.9363512992858887,9
arithmetic,3572,D0,goodput,19,1.0,19.76580238342285,0.1501360535621643,0.9118127822875977,7
arithmetic,3572,D0,goodput,19,4.0,22.903451919555664,0.09791307151317596,0.9561826586723328,9
arithmetic,3572,D0,goodput,19,7.0,22.903451919555664,0.09791307151317596,0.9561826586723328,9
arithmetic,3572,D0,goodput,19,13.0,22.903451919555664,0.09791307151317596,0.9561826586723328,9
arithmetic,3572,D0,goodput,19,19.0,22.903451919555664,0.09791307151317596,0.9561826586723328,9
arithmetic,3572,D0,goodput,20,1.0,22.555679321289062,0.09028253704309464,0.9481832385063171,7
arithmetic,3572,D0,goodput,20,4.0,25.37393569946289,0.06443264832099278,0.9504537582397461,9
arithmetic,3572,D0,goodput,20,7.0,25.37393569946289,0.06443264583746593,0.9504537582397461,9
arithmetic,3572,D0,goodput,20,13.0,25.37393569946289,0.06443264583746593,0.9504537582397461,9
arithmetic,3572,D0,goodput,20,19.0,25.37393569946289,0.06443264832099278,0.9504537582397461,9
arithmetic,3572,D0,goodput,21,1.0,15.707688331604004,0.31452901164690655,0.8544531464576721,7
arithmetic,3572,D0,goodput,21,4.0,18.89498519897461,0.20184773206710815,0.9171780943870544,9
