source_index,image_id,snr_db,noise_seed,N,E,family,sent_mode,received_mode,header_ok,body_crc_ok,source_complete,payload_bits,arithmetic_length_field,source_error,candidate_key,method,psnr_db,lpips_alex,dino_cosine,renderer,policy,selected_mode,seed,preprocessing_id,seed_count,seed_keys,budget
9,n01860187/ILSVRC2012_val_00021594_n01860187,19.0,2001,3572,7144,arithmetic,9,9,1,1,1,4180,4180,,"('arithmetic', '63e0900a183bee4ae9a8aadc45e3b9b5bfe6e27599e2a30bb8a53e76e29252cd')",arithmetic_N3572_m9_D0,16.46030616760254,0.15909311175346375,0.9155489206314087,D0,goodput,9,2001,,3,"2001,2002,2003",3572
10,n01882714/ILSVRC2012_val_00019996_n01882714,1.0,2001,3572,7144,arithmetic,7,7,1,1,1,1539,1539,,"('arithmetic', '092e4bf68329b887819d1926815c2fc95b382c3ea8b329c357d0c6c809567c9e')",arithmetic_N3572_m7_D0,16.346851348876953,0.24061132967472076,0.9603189826011658,D0,goodput,7,2001,,3,"2001,2002,2003",3572
10,n01882714/ILSVRC2012_val_00019996_n01882714,4.0,2001,3572,7144,arithmetic,9,9,1,1,1,3992,3992,,"('arithmetic', '2c847a2cede3d877b56b8dfef64530a6f764e49ee0b2349c5b6d448563ed8475')",arithmetic_N3572_m9_D0,17.581246376037598,0.20825159549713135,0.9587013324101766,D0,goodput,9,2001,,3,"2001,2002,2003",3572
10,n01882714/ILSVRC2012_val_00019996_n01882714,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,3992,3992,,"('arithmetic', '2c847a2cede3d877b56b8dfef64530a6f764e49ee0b2349c5b6d448563ed8475')",arithmetic_N3572_m9_D0,19.22677230834961,0.13109707832336426,0.9679110050201416,D0,goodput,9,2001,,3,"2001,2002,2003",3572
10,n01882714/ILSVRC2012_val_00019996_n01882714,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,3992,3992,,"('arithmetic', '2c847a2cede3d877b56b8dfef64530a6f764e49ee0b2349c5b6d448563ed8475')",arithmetic_N3572_m9_D0,19.22677230834961,0.13109707832336426,0.9679110050201416,D0,goodput,9,2001,,3,"2001,2002,2003",3572
10,n01882714/ILSVRC2012_val_00019996_n01882714,19.0,2001,3572,7144,arithmetic,9,9,1,1,1,3992,3992,,"('arithmetic', '2c847a2cede3d877b56b8dfef64530a6f764e49ee0b2349c5b6d448563ed8475')",arithmetic_N3572_m9_D0,19.22677230834961,0.13109707832336426,0.9679110050201416,D0,goodput,9,2001,,3,"2001,2002,2003",3572
11,n01943899/ILSVRC2012_val_00005706_n01943899,1.0,2001,3572,7144,arithmetic,7,7,1,1,1,1593,1593,,"('arithmetic', 'a19f162318732c2882dd1ee2d7950e2b3f48c0631fe1fc4d3aa827cd6bdbfd59')",arithmetic_N3572_m7_D0,16.21218490600586,0.2629922330379486,0.8444234132766724,D0,goodput,7,2001,,3,"2001,2002,2003",3572
11,n01943899/ILSVRC2012_val_00005706_n01943899,4.0,2001,3572,7144,arithmetic,9,9,1,1,1,4279,4279,,"('arithmetic', '1607f11311d3042125b7ff11f84e120551df2e314fc173fee3181b40add47b7d')",arithmetic_N3572_m9_D0,13.631460825602213,0.43353257576624554,0.579870825012525,D0,goodput,9,2001,,3,"2001,2002,2003",3572
11,n01943899/ILSVRC2012_val_00005706_n01943899,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,4279,4279,,"('arithmetic', '1607f11311d3042125b7ff11f84e120551df2e314fc173fee3181b40add47b7d')",arithmetic_N3572_m9_D0,18.94344711303711,0.17179900407791138,0.9199231863021851,D0,goodput,9,2001,,3,"2001,2002,2003",3572
11,n01943899/ILSVRC2012_val_00005706_n01943899,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,4279,4279,,"('arithmetic', '1607f11311d3042125b7ff11f84e120551df2e314fc173fee3181b40add47b7d')",arithmetic_N3572_m9_D0,18.94344711303711,0.17179900407791138,0.9199231863021851,D0,goodput,9,2001,,3,"2001,2002,2003",3572
