population,scope,method,control,metric,source_images,selection_data,gain,ci_low,ci_high
development,6.0,arithmetic_quality,raw_m7,lpips,100,calibration_only,-0.09238531632969776,-0.09860359569980452,-0.08618684547456602
development,6.0,arithmetic_quality,raw_m7,dino,100,calibration_only,0.07021050790945688,0.061438797930876414,0.07961504575610161
development,6.0,arithmetic_quality,raw_m8,psnr_db,100,calibration_only,1.389873078664144,1.2415070958137513,1.535161075035731
development,6.0,arithmetic_quality,raw_m8,lpips,100,calibration_only,-0.035722298963616284,-0.03989713312375049,-0.031217538805212827
development,6.0,arithmetic_quality,raw_m8,dino,100,calibration_only,0.030382513205210366,0.02301637332141399,0.03850358333190282
development,6.0,arithmetic_quality,raw_m9,psnr_db,100,calibration_only,0.6200708357493083,0.454530419508616,0.7798015877405801
development,6.0,arithmetic_quality,raw_m9,lpips,100,calibration_only,-0.01284992763151725,-0.017537446094055973,-0.007738117986048261
development,6.0,arithmetic_quality,raw_m9,dino,100,calibration_only,0.01723922828833262,0.01182819316287834,0.022759589657187457
development,6.0,arithmetic_quality,arithmetic_m7,psnr_db,100,calibration_only,2.9797973855336513,2.7266329133510596,3.2311947120030724
development,6.0,arithmetic_quality,arithmetic_m7,lpips,100,calibration_only,-0.09238531632969776,-0.09860359569980452,-0.08618684547456602
development,6.0,arithmetic_quality,arithmetic_m7,dino,100,calibration_only,0.07021050790945688,0.061438797930876414,0.07961504575610161
development,6.0,arithmetic_quality,arithmetic_m8,psnr_db,100,calibration_only,1.389873078664144,1.2415070958137513,1.535161075035731
development,6.0,arithmetic_quality,arithmetic_m8,lpips,100,calibration_only,-0.035722298963616284,-0.03989713312375049,-0.031217538805212827
development,6.0,arithmetic_quality,arithmetic_m8,dino,100,calibration_only,0.030382513205210366,0.02301637332141399,0.03850358333190282
development,6.0,arithmetic_quality,arithmetic_m9,psnr_db,100,calibration_only,0.0,0.0,0.0
development,6.0,arithmetic_quality,arithmetic_m9,lpips,100,calibration_only,0.0,0.0,0.0
development,6.0,arithmetic_quality,arithmetic_m9,dino,100,calibration_only,0.0,0.0,0.0
development,6.0,arithmetic_quality,raw_reliability,psnr_db,100,calibration_only,1.389873078664144,1.2415070958137513,1.535161075035731
development,6.0,arithmetic_quality,raw_reliability,lpips,100,calibration_only,-0.035722298963616284,-0.03989713312375049,-0.031217538805212827
development,6.0,arithmetic_quality,raw_reliability,dino,100,calibration_only,0.030382513205210366,0.02301637332141399,0.03850358333190282
development,6.0,arithmetic_quality,raw_quality,psnr_db,100,calibration_only,0.6200708357493083,0.454530419508616,0.7798015877405801
development,6.0,arithmetic_quality,raw_quality,lpips,100,calibration_only,-0.01284992763151725,-0.017537446094055973,-0.007738117986048261
development,6.0,arithmetic_quality,raw_quality,dino,100,calibration_only,0.01723922828833262,0.01182819316287834,0.022759589657187457
development,6.0,arithmetic_quality,raw_goodput,psnr_db,100,calibration_only,1.389873078664144,1.2415070958137513,1.535161075035731
development,6.0,arithmetic_quality,raw_goodput,lpips,100,calibration_only,-0.035722298963616284,-0.03989713312375049,-0.031217538805212827
development,6.0,arithmetic_quality,raw_goodput,dino,100,calibration_only,0.030382513205210366,0.02301637332141399,0.03850358333190282
development,6.0,arithmetic_quality,old_raw_adaptive,psnr_db,100,calibration_only,0.6200708357493083,0.454530419508616,0.7798015877405801
development,6.0,arithmetic_quality,old_raw_adaptive,lpips,100,calibration_only,-0.01284992763151725,-0.017537446094055973,-0.007738117986048261
development,6.0,arithmetic_quality,old_raw_adaptive,dino,100,calibration_only,0.01723922828833262,0.01182819316287834,0.022759589657187457
development,6.0,arithmetic_quality,r2__full_grid_innovation,psnr_db,100,calibration_only,-0.744885040918986,-0.9167594263553617,-0.587896381219228
development,6.0,arithmetic_quality,r2__full_grid_innovation,lpips,100,calibration_only,-0.033462517578154806,-0.0391783621700791,-0.0273464669805641
development,6.0,arithmetic_quality,r2__full_grid_innovation,dino,100,calibration_only,0.0542780781785647,0.04549900199721258,0.06371370875338711
development,6.0,arithmetic_quality,r3__full_grid_prediction_features,psnr_db,100,calibration_only,-0.6641157881418862,-0.8377957632541657,-0.4990108757019042
development,6.0,arithmetic_quality,r3__full_grid_prediction_features,lpips,100,calibration_only,-0.030997066472967464,-0.036454430859225485,-0.025097343159839518
development,6.0,arithmetic_quality,r3__full_grid_prediction_features,dino,100,calibration_only,0.05173391878604889,0.043208690255880346,0.060910348271330204
development,6.0,arithmetic_quality,perceptual_deepjscc,psnr_db,100,calibration_only,-3.9332665602366133,-4.1329855651060745,-3.7476456265449523
development,6.0,arithmetic_quality,perceptual_deepjscc,lpips,100,calibration_only,-0.03226265747100115,-0.040262396628657986,-0.024155253769519436
development,6.0,arithmetic_quality,perceptual_deepjscc,dino,100,calibration_only,0.3019780074556669,0.2760724621651074,0.32836217546338836
development,6.0,arithmetic_quality,wetok_8PSK_FEC,psnr_db,100,calibration_only,11.52025007088979,10.811060080091158,12.244584144949915
