population,scope,method,source_images,psnr_db,lpips,dino
development,6.0,arithmetic_reliability,100,21.08149687131246,0.14141902932276326,0.9201121548811594
development,6.0,arithmetic_quality,100,21.08149687131246,0.14141902932276326,0.9201121548811594
development,6.0,arithmetic_goodput,100,21.08149687131246,0.14141902932276326,0.9201121548811594
development,6.0,old_raw_adaptive,100,20.46142603556315,0.15426895695428053,0.9028729265928268
development,6.0,r2__full_grid_innovation,100,21.82638191223144,0.17488154690091803,0.8658340767025947
development,6.0,r3__full_grid_prediction_features,100,21.745612659454345,0.17241609579573075,0.8683782360951107
development,6.0,perceptual_deepjscc,100,25.014763431549067,0.17368168679376442,0.6181341474254927
development,6.0,wetok_8PSK_FEC,100,9.56124680042267,0.7041980739434562,0.017784506121339895
development,6.0,legacy_Deep_nominal_condition,100,23.643892962137855,0.30724320301165187,0.5011873919765154
development,7.0,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,7.0,raw_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,7.0,raw_m9,100,21.16968646685283,0.1374709875509143,0.9217984010775885
development,7.0,arithmetic_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,7.0,arithmetic_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,7.0,arithmetic_m9,100,21.224103310902912,0.13611351401855548,0.9237760400772095
development,7.0,raw_reliability,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,7.0,raw_quality,100,21.16968646685283,0.1374709875509143,0.9217984010775885
development,7.0,raw_goodput,100,21.16968646685283,0.1374709875509143,0.9217984010775885
development,7.0,arithmetic_reliability,100,21.224103310902912,0.13611351401855548,0.9237760400772095
development,7.0,arithmetic_quality,100,21.224103310902912,0.13611351401855548,0.9237760400772095
development,7.0,arithmetic_goodput,100,21.224103310902912,0.13611351401855548,0.9237760400772095
development,7.0,old_raw_adaptive,100,21.16968646685283,0.1374709875509143,0.9217984010775885
development,7.0,r2__full_grid_innovation,100,22.19715461730957,0.16086182298759616,0.8881962472200392
development,7.0,r3__full_grid_prediction_features,100,22.164886576334638,0.15761814752593636,0.8910928942759831
development,7.0,perceptual_deepjscc,100,25.35552403767904,0.16654171232134107,0.6554392444094023
development,7.0,wetok_8PSK_FEC,100,9.670213333765664,0.6996774715185166,0.017810459366689128
development,7.0,legacy_Deep_nominal_condition,100,25.35552403767904,0.16654171232134107,0.6554392444094023
development,13.0,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,13.0,raw_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,13.0,raw_m9,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,13.0,arithmetic_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,13.0,arithmetic_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,13.0,arithmetic_m9,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,13.0,raw_reliability,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,13.0,raw_quality,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,13.0,raw_goodput,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,13.0,arithmetic_reliability,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,13.0,arithmetic_quality,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,13.0,arithmetic_goodput,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,13.0,old_raw_adaptive,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,13.0,r2__full_grid_innovation,100,23.613100077311195,0.11528881308312218,0.9381117407480878
development,13.0,r3__full_grid_prediction_features,100,23.73006924947103,0.11108229912817479,0.9404607848326364
development,13.0,perceptual_deepjscc,100,26.46727240880331,0.13864782076949875,0.7451532971362274
development,13.0,wetok_8PSK_FEC,100,23.726785831451416,0.08703717437883217,0.9542358009020488
development,13.0,legacy_Deep_nominal_condition,100,26.46727240880331,0.13864782076949875,0.7451532971362274
development,19.0,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,19.0,raw_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,19.0,raw_m9,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,19.0,arithmetic_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,19.0,arithmetic_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,19.0,arithmetic_m9,100,21.24372802734375,0.1358956206962466,0.9238587516546249
