source_index,image_id,m,N,ND,NA,snr_db,seed,header_ok,header_crc_ok,decoded_mode,decoded_label,body_crc_ok,token_error_rate_including_erasure,prefix_error_normalized,base_error_normalized
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,7,4101,1,1,6,8,1,0.0,0.0,1.1827479600906372
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,7,4102,1,1,6,8,1,0.0,0.0,1.1827479600906372
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,7,4103,1,1,6,8,1,0.0,0.0,1.1827479600906372
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,13,4101,1,1,6,8,1,0.0,0.0,1.1827479600906372
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,13,4102,1,1,6,8,1,0.0,0.0,1.1827479600906372
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,13,4103,1,1,6,8,1,0.0,0.0,1.1827479600906372
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,19,4101,1,1,6,8,1,0.0,0.0,1.1827479600906372
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,19,4102,1,1,6,8,1,0.0,0.0,1.1827479600906372
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,19,4103,1,1,6,8,1,0.0,0.0,1.1827479600906372
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,1,4101,1,1,6,9,0,0.01098901098901099,0.00215694447979331,0.7087585926055908
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,1,4102,1,1,6,9,0,0.06593406593406594,0.010136546567082405,0.7284414172172546
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,1,4103,1,1,6,9,0,0.14285714285714285,0.027963988482952118,0.7753832340240479
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,4,4101,1,1,6,9,1,0.0,0.0,0.6960259675979614
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,4,4102,1,1,6,9,1,0.0,0.0,0.6960259675979614
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,4,4103,1,1,6,9,1,0.0,0.0,0.6960259675979614
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,7,4101,1,1,6,9,1,0.0,0.0,0.6960259675979614
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,7,4102,1,1,6,9,1,0.0,0.0,0.6960259675979614
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,7,4103,1,1,6,9,1,0.0,0.0,0.6960259675979614
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,13,4101,1,1,6,9,1,0.0,0.0,0.6960259675979614
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,13,4102,1,1,6,9,1,0.0,0.0,0.6960259675979614
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,13,4103,1,1,6,9,1,0.0,0.0,0.6960259675979614
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,19,4101,1,1,6,9,1,0.0,0.0,0.6960259675979614
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,19,4102,1,1,6,9,1,0.0,0.0,0.6960259675979614
9,n01518878/ILSVRC2012_val_00033181_n01518878,6,4084,1200,2816,19,4103,1,1,6,9,1,0.0,0.0,0.6960259675979614
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,1,4101,1,1,6,10,0,0.12087912087912088,0.026326021179556847,1.5538713932037354
