population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,13.0,4103,5088,5088,1,1,1,1,19.64674186706543,0.13266047835350037
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,19.0,4101,5088,5088,1,1,1,1,19.64674186706543,0.13266047835350037
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,19.0,4102,5088,5088,1,1,1,1,19.64674186706543,0.13266047835350037
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,19.0,4103,5088,5088,1,1,1,1,19.64674186706543,0.13266047835350037
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,1.0,4101,5088,5088,1,0,0,1,10.860795974731445,0.6076251268386841
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,1.0,4102,5088,5088,1,0,0,1,12.697908401489258,0.5523722767829895
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,1.0,4103,5088,5088,1,0,0,1,13.241010665893555,0.38681572675704956
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,4.0,4101,5088,5088,1,1,1,1,23.385047912597656,0.08534504473209381
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,4.0,4102,5088,5088,1,0,0,1,23.199085235595703,0.08660759031772614
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,4.0,4103,5088,5088,1,0,0,1,23.405332565307617,0.08448304980993271
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,7.0,4101,5088,5088,1,1,1,1,23.385047912597656,0.08534504473209381
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,7.0,4102,5088,5088,1,1,1,1,23.385047912597656,0.08534504473209381
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,7.0,4103,5088,5088,1,1,1,1,23.385047912597656,0.08534504473209381
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,13.0,4101,5088,5088,1,1,1,1,23.385047912597656,0.08534504473209381
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,13.0,4102,5088,5088,1,1,1,1,23.385047912597656,0.08534504473209381
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,13.0,4103,5088,5088,1,1,1,1,23.385047912597656,0.08534504473209381
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,19.0,4101,5088,5088,1,1,1,1,23.385047912597656,0.08534504473209381
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,19.0,4102,5088,5088,1,1,1,1,23.385047912597656,0.08534504473209381
calibration,9,n01518878/ILSVRC2012_val_00033181_n01518878,raw,4084,9,Dc,19.0,4103,5088,5088,1,1,1,1,23.385047912597656,0.08534504473209381
calibration,10,n01530575/ILSVRC2012_val_00027374_n01530575,raw,4084,9,Dc,1.0,4101,5088,5088,1,0,0,1,14.531073570251465,0.43470701575279236
