method,selected_endpoint,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,1.0,2003,4084,8168,16.376888275146484,0.19786153733730316,0.9106791019439697
calibration_frozen_resource_lookup,m8_plus_latent_1024,8,n01843383/ILSVRC2012_val_00005901_n01843383,4.0,2001,4084,8168,17.466949462890625,0.171847864985466,0.941508412361145
calibration_frozen_resource_lookup,m8_plus_latent_1024,8,n01843383/ILSVRC2012_val_00005901_n01843383,4.0,2002,4084,8168,17.396696090698242,0.16641387343406677,0.9406580924987793
calibration_frozen_resource_lookup,m8_plus_latent_1024,8,n01843383/ILSVRC2012_val_00005901_n01843383,4.0,2003,4084,8168,17.45710563659668,0.17455615103244781,0.9339004755020142
calibration_frozen_resource_lookup,m8_plus_latent_1024,8,n01843383/ILSVRC2012_val_00005901_n01843383,7.0,2001,4084,8168,17.719289779663086,0.16115042567253113,0.9465011358261108
calibration_frozen_resource_lookup,m8_plus_latent_1024,8,n01843383/ILSVRC2012_val_00005901_n01843383,7.0,2002,4084,8168,17.661911010742188,0.15780167281627655,0.9410456418991089
calibration_frozen_resource_lookup,m8_plus_latent_1024,8,n01843383/ILSVRC2012_val_00005901_n01843383,7.0,2003,4084,8168,17.690847396850586,0.1620386689901352,0.9349889755249023
calibration_frozen_resource_lookup,m8_plus_latent_1024,8,n01843383/ILSVRC2012_val_00005901_n01843383,13.0,2001,4084,8168,17.94346046447754,0.15068137645721436,0.9465230107307434
calibration_frozen_resource_lookup,m8_plus_latent_1024,8,n01843383/ILSVRC2012_val_00005901_n01843383,13.0,2002,4084,8168,17.912797927856445,0.15081004798412323,0.9499960541725159
calibration_frozen_resource_lookup,m8_plus_latent_1024,8,n01843383/ILSVRC2012_val_00005901_n01843383,13.0,2003,4084,8168,17.923160552978516,0.14911717176437378,0.9401979446411133
calibration_frozen_resource_lookup,m8_plus_latent_1024,8,n01843383/ILSVRC2012_val_00005901_n01843383,19.0,2001,4084,8168,18.000991821289062,0.14656955003738403,0.9436720609664917
calibration_frozen_resource_lookup,m8_plus_latent_1024,8,n01843383/ILSVRC2012_val_00005901_n01843383,19.0,2002,4084,8168,17.986021041870117,0.14775671064853668,0.9474544525146484
calibration_frozen_resource_lookup,m8_plus_latent_1024,8,n01843383/ILSVRC2012_val_00005901_n01843383,19.0,2003,4084,8168,17.989229202270508,0.14589479565620422,0.9433135986328125
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,1.0,2001,4084,8168,17.31367301940918,0.1918555498123169,0.8857337236404419
