method,selected_mode,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
arithmetic_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2002,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
raw_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2003,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
arithmetic_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2003,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
raw_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2001,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
arithmetic_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2001,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
raw_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2002,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
arithmetic_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2002,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
raw_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2003,4084,8168,18.94675636291504,0.16369716823101044,0.8722684979438782
arithmetic_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2003,4084,8168,18.94675636291504,0.16369716823101044,0.8722684979438782
raw_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2001,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
arithmetic_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2001,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
raw_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2002,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
arithmetic_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2002,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
raw_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2003,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
arithmetic_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2003,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
raw_adaptive_m789_Dc,8,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2001,4084,8168,23.048194885253906,0.20246298611164093,0.7568116188049316
arithmetic_adaptive_m789_Dc,8,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2001,4084,8168,23.64395523071289,0.1491052657365799,0.8396773338317871
raw_adaptive_m789_Dc,8,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2002,4084,8168,23.625638961791992,0.1495809555053711,0.856894314289093
arithmetic_adaptive_m789_Dc,8,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2002,4084,8168,23.64395523071289,0.1491052657365799,0.8396773338317871
raw_adaptive_m789_Dc,8,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2003,4084,8168,23.63164710998535,0.15534308552742004,0.7964203357696533
arithmetic_adaptive_m789_Dc,8,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2003,4084,8168,21.373674392700195,0.2699279189109802,0.4290769100189209
raw_adaptive_m789_Dc,9,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2001,4084,8168,24.072200775146484,0.13256187736988068,0.7869226932525635
arithmetic_adaptive_m789_Dc,9,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2001,4084,8168,24.077701568603516,0.12948590517044067,0.7905673384666443
raw_adaptive_m789_Dc,9,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2002,4084,8168,24.077701568603516,0.12948590517044067,0.7905673384666443
arithmetic_adaptive_m789_Dc,9,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2002,4084,8168,24.077701568603516,0.12948590517044067,0.7905673384666443
raw_adaptive_m789_Dc,9,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2003,4084,8168,24.00895118713379,0.13462528586387634,0.8038428425788879
arithmetic_adaptive_m789_Dc,9,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2003,4084,8168,24.077701568603516,0.12948590517044067,0.7905673384666443
