method,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,7.0,2003,4084,8168,23.48212242126465,0.186603844165802,0.8696224689483643
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,13.0,2001,4084,8168,23.776857376098633,0.17290973663330078,0.8751977682113647
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,13.0,2002,4084,8168,23.817340850830078,0.1790272444486618,0.8929286599159241
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,13.0,2003,4084,8168,23.732402801513672,0.17705368995666504,0.8916687965393066
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,19.0,2001,4084,8168,23.830249786376953,0.17255304753780365,0.8875552415847778
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,19.0,2002,4084,8168,23.85407257080078,0.1757802814245224,0.8957624435424805
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,19.0,2003,4084,8168,23.814218521118164,0.1750670075416565,0.8950589895248413
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,1.0,2001,4084,8168,15.880660057067871,0.25950199365615845,0.7778115272521973
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,1.0,2002,4084,8168,15.80394172668457,0.26270896196365356,0.7977757453918457
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,1.0,2003,4084,8168,15.761709213256836,0.2642213702201843,0.7953677177429199
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,4.0,2001,4084,8168,16.07278823852539,0.23217418789863586,0.7313372492790222
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,4.0,2002,4084,8168,16.040870666503906,0.23428627848625183,0.7332428693771362
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,4.0,2003,4084,8168,16.006521224975586,0.230878084897995,0.776054322719574
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,7.0,2001,4084,8168,16.142866134643555,0.22892391681671143,0.7285865545272827
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,7.0,2002,4084,8168,16.12361717224121,0.23071196675300598,0.7412770986557007
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,7.0,2003,4084,8168,16.10561180114746,0.2306700348854065,0.7723186016082764
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,13.0,2001,4084,8168,16.21848487854004,0.2264409065246582,0.7381316423416138
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,13.0,2002,4084,8168,16.21338653564453,0.22638092935085297,0.7505489587783813
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,13.0,2003,4084,8168,16.209697723388672,0.22630472481250763,0.764564573764801
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,19.0,2001,4084,8168,16.245054244995117,0.2259339988231659,0.7400473952293396
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,19.0,2002,4084,8168,16.245281219482422,0.22670257091522217,0.7526819705963135
m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,19.0,2003,4084,8168,16.24327850341797,0.22585198283195496,0.7576303482055664
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,1.0,2001,4084,8168,16.17894172668457,0.21666410565376282,0.910062849521637
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,1.0,2002,4084,8168,16.13258171081543,0.21124477684497833,0.8525793552398682
