snr_db,method,control,metric,delta,ci_low,ci_high
13.0,prefix_next_scale,perceptual_deepjscc,psnr_db,-7.42810317993164,-7.840728278477985,-7.00452928884824
13.0,prefix_next_scale,perceptual_deepjscc,lpips_alex,0.12347958532472454,0.11271108979017783,0.13402774888246013
13.0,prefix_next_scale,perceptual_deepjscc,dino_cosine,0.07029751405119895,0.04830201038594047,0.09255855160951615
19.0,prefix_next_scale,prefix_parallel,psnr_db,0.4095696258544922,0.18049516614278163,0.6782660250663756
19.0,prefix_next_scale,prefix_parallel,lpips_alex,-0.0203588480129838,-0.03196264397352934,-0.00961360184817265
19.0,prefix_next_scale,prefix_parallel,dino_cosine,0.020256083408991495,0.004627895310521126,0.036670671954751016
19.0,prefix_parallel,digital_m8,psnr_db,-1.0595486799875895,-1.3996813929080965,-0.764014805952708
19.0,prefix_parallel,digital_m8,lpips_alex,0.1060602911002934,0.0940661797313951,0.11876005577420193
19.0,prefix_parallel,digital_m8,dino_cosine,-0.09133494754632313,-0.10859602484107017,-0.07528552412490049
19.0,prefix_parallel,digital_adaptive,psnr_db,-2.6116529146830243,-3.0112198628584546,-2.2534780946572623
19.0,prefix_parallel,digital_adaptive,lpips_alex,0.14730599779635664,0.13542458401868743,0.1597171717040862
19.0,prefix_parallel,digital_adaptive,dino_cosine,-0.12546406765778859,-0.14413922121624154,-0.10818728870650134
19.0,prefix_parallel,perceptual_deepjscc,psnr_db,-8.251171951293946,-8.768203040122986,-7.758064206679663
19.0,prefix_parallel,perceptual_deepjscc,lpips_alex,0.15283041715001067,0.14122786846819027,0.16465767750190569
19.0,prefix_parallel,perceptual_deepjscc,dino_cosine,0.02563054571549098,0.0018985052878658008,0.04946918469419083
19.0,prefix_next_scale,digital_m8,psnr_db,-0.6499790541330974,-0.8338689596652985,-0.46552919522921254
19.0,prefix_next_scale,digital_m8,lpips_alex,0.08570144308730959,0.0766540740740796,0.09517867072997614
19.0,prefix_next_scale,digital_m8,dino_cosine,-0.07107886413733165,-0.08247449918091297,-0.060116526419917736
19.0,prefix_next_scale,digital_adaptive,psnr_db,-2.2020832888285318,-2.45727715977033,-1.943504918972651
19.0,prefix_next_scale,digital_adaptive,lpips_alex,0.1269471497833729,0.1171813733894378,0.13691259973403067
19.0,prefix_next_scale,digital_adaptive,dino_cosine,-0.1052079842487971,-0.11888236748675504,-0.09239104792972407
19.0,prefix_next_scale,perceptual_deepjscc,psnr_db,-7.841602325439452,-8.279324926932654,-7.392870948870978
19.0,prefix_next_scale,perceptual_deepjscc,lpips_alex,0.13247156913702687,0.12123288662886868,0.14369032313209024
19.0,prefix_next_scale,perceptual_deepjscc,dino_cosine,0.045886629124482464,0.023835569766660528,0.06796814117332298
