method,snr_db,N,E_mean,E_min,E_p05,E_p95,E_max,mean_energy_per_use,constraint,table_sha256
token-efficiency-digital-v1/raw/16QAM/N3060/m6,1,3060,6120.828799999999,5798.4,5956.72,6288.0,6422.4,2.0002708496732025,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m6,4,3060,6120.828799999999,5798.4,5956.72,6288.0,6422.4,2.0002708496732025,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m6,7,3060,6120.828799999999,5798.4,5956.72,6288.0,6422.4,2.0002708496732025,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m6,13,3060,6120.828799999999,5798.4,5956.72,6288.0,6422.4,2.0002708496732025,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m6,19,3060,6120.828799999999,5798.4,5956.72,6288.0,6422.4,2.0002708496732025,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m7,1,3060,6123.0368,5836.799999999999,5993.6,6252.8,6372.8,2.0009924183006533,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m7,4,3060,6123.0368,5836.799999999999,5993.6,6252.8,6372.8,2.0009924183006533,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m7,7,3060,6123.0368,5836.799999999999,5993.6,6252.8,6372.8,2.0009924183006533,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m7,13,3060,6123.0368,5836.799999999999,5993.6,6252.8,6372.8,2.0009924183006533,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m7,19,3060,6123.0368,5836.799999999999,5993.6,6252.8,6372.8,2.0009924183006533,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m8,1,3060,6118.686400000001,5876.8,6017.6,6220.88,6292.799999999999,1.9995707189542489,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m8,4,3060,6118.686400000001,5876.8,6017.6,6220.88,6292.799999999999,1.9995707189542489,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m8,7,3060,6118.686400000001,5876.8,6017.6,6220.88,6292.799999999999,1.9995707189542489,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m8,13,3060,6118.686400000001,5876.8,6017.6,6220.88,6292.799999999999,1.9995707189542489,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m8,19,3060,6118.686400000001,5876.8,6017.6,6220.88,6292.799999999999,1.9995707189542489,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
